Study Type: Randomized-controlled trial (RCT),Study Type: Pre-post study,Study Type: Case Report,Study Type: Case Series,Study Type: Cohort Study,Study Type: Cross-Sectional Study,Study Type: Systematic Review/Meta-analysis,Study Type: Qualitative Study,Study Type: Study protocol,Study Type: Unknown,Study Type: Other,Data Type: Longitudinal,Data Type: Cross-sectional,Data Type: Unknown,Data Collection: Retrospective,Data Collection: Prospective,Data Collection: Unknown,Clinical Trial Phase: Phase 1,Clinical Trial Phase: Phase 2,Clinical Trial Phase: Phase 3,Clinical Trial Phase: Phase 4,Clinical Trial Phase: Unknown,Clinical Trial Phase: Not Applicable,Outcomes: The ability to drive a car,Outcomes: Suicide,Outcomes: Functional MRI,Outcomes: Physiological Functions,Outcomes: Mental Functions,Outcomes: Pharmacokinetics,Condition: Psychiatric Condition,Condition: Pain,Condition: Recreational Drug Use,Condition: Healthy Participants,Condition: Palliative Setting,Substance: LSD,Substance: Psilocybin,Substance: Mescaline,Substance: DMT,Substance: Ayahuasca,Substance: 5-MeO-DMT,Substance: MDMA,Substance: Ketamine,Substance: Ibogaine,Substance: Salvinorin A,Substance: Combination Therapy,Number of Participants: 1-20,Number of Participants: 21-40,Number of Participants: 41-60,Number of Participants: 61-80,Number of Participants: 81-100,Number of Participants: >100,Number of Participants: Unknown,Sex of Participants: Male,Sex of Participants: Female,Sex of Participants: Both sexes,Sex of Participants: Unknown,Age of Participants: Pediatric (< 18 years old),Age of Participants: Adult (≥18 years),Age of Participants: Unknown,Adverse Event: No adverse event(s) were reported,Adverse Event: Adverse event(s) were reported,Adverse Event: No reporting of adverse event(s),Adverse Event: Not Applicable,Conclusion: Positive,Conclusion: Negative,Conclusion: Neutral,Conclusion: Mixed,Conclusion: Unknown,Conclusion: Not Applicable,Regimen: Microdosing,Regimen: Multiple Applications,Regimen: Single Dose,Substance Naivety: Substance-Naïve Participants,Substance Naivety: Substance-non-naïve participants,Substance Naivety: Unknown,text,id
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,"Managing dissociative symptoms following the use of esketamine nasal spray: a case report.^
Patients with treatment-resistant depression (TRD) treated with esketamine nasal spray commonly experience transient symptoms of dissociation. Manifestations of dissociation, such as feelings of detachment from the environment, can cause considerable anxiety for patients. Nonpharmacologic interventions may help clinicians to manage associated anxiety and confusion due to dissociation following administration of esketamine nasal spray. We present the case of a 64-year-old woman with major depressive disorder who participated in a clinical trial evaluating the efficacy and safety of esketamine nasal spray in conjunction with an oral antidepressant for TRD. The patient received flexible doses of esketamine nasal spray (56 or 84 mg) twice weekly for 4 weeks. On treatment day 1, the patient was administered 56 mg of esketamine nasal spray using two nasal spray devices (28 mg per device). Twenty minutes after the first esketamine nasal spray device was administered, the patient experienced a dissociative episode lasting 40 minutes that caused anxiety and confusion. The patient was encouraged to listen to music during treatment sessions, which resulted in notable improvement of her symptoms. Listening to music of choice immediately following esketamine nasal spray administration along with reassurance from staff may help manage confusion and anxiety associated with dissociation.",6828
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,"Symptoms of anxiety and depression in childhood and use of MDMA: Prospective, population based study.^
Objective: To investigate whether using ecstasy (3,4- methylenedioxymethamphetamine, MDMA) is preceded by symptoms of behavioural and emotional problems in childhood and early adolescence. Design: Prospective, longitudinal, population based study Setting: The Dutch province of Zuid-Holland. Participants: A sample of 1580 individuals, followed up across a 14 year period, from childhood into adulthood. Main outcome measures: The first assessment took place in 1983 before MDMA appeared as a recreational drug in the Netherlands and included the child behaviour checklist to obtain standardised parents' reports of their children's behavioural and emotional problems. Use of the drug was assessed with the composite international diagnostic interview 14 years later. Results: Eight syndrome scales of childhood behaviour were examined. Scores in the deviant range for the scales designated as anxious or depressed in childhood were significantly related to use of MDMA in adolescents and adults, resulting in an increased risk (hazard ratio 2.22, 95% confidence interval 1.20 to 4.11, P = 0.01). Conclusions: Individuals with childhood symptoms of anxiety and depression may have an increased tendency to use MDMA in adolescence or young adulthood. Its effects are supposed to include enhanced feelings of bonding with other people, euphoria, or relaxation. Especially individuals with symptoms of anxiety or depression may be susceptible to these positive effects.",3733
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,"Antisuicidal Response Following Ketamine Infusion Is Associated With Decreased Nighttime Wakefulness in Major Depressive Disorder and Bipolar Disorder.^
OBJECTIVE: Insomnia and disrupted sleep are associated with increased risk of suicide. The N-methyl-d-aspartate antagonist ketamine has been associated with reduced suicidal thoughts, but the mechanism of action is unknown. This study sought to evaluate differences in nocturnal wakefulness in depressed individuals who did and did not have an antisuicidal response to ketamine. METHODS: Thirty-four participants with baseline suicidal ideation diagnosed with either DSM-IV major depressive disorder (n = 23) or bipolar depression (n = 11) between 2006 and 2013 completed nighttime electroencephalography (EEG) the night before and the night after a single ketamine infusion (0.5 mg/kg over 40 minutes). Suicidal ideation was assessed at baseline and the morning after ketamine infusion via several measures, including the Hamilton Depression Rating Scale suicide item, the suicide item of the Montgomery-Asberg Depression Rating Scale, and the first 5 items of the Scale for Suicide Ideation. A generalized linear mixed model evaluated differences in nocturnal wakefulness, as verified by EEG, between those who had an antisuicidal response to ketamine and those who did not, controlling for baseline nocturnal wakefulness. Results were also compared to the sleep of healthy controls (n = 22). RESULTS: After analyses adjusted for baseline sleep, participants with an antisuicidal response to ketamine showed significantly reduced nocturnal wakefulness the night after ketamine infusion compared to those without an antisuicidal response (F₁,₂₂ = 5.04, P = .04). Level of nocturnal wakefulness after antisuicidal response to ketamine did not differ significantly from nocturnal wakefulness in the control sample but did differ at a trend level (F₁,₄₀ = 3.15, P = .08). CONCLUSIONS: Reductions in wakefulness following ketamine may point to a biological mechanism underlying the effect of ketamine on suicidal ideation. TRIAL REGISTRATION: ClinicalTrials.gov identifier: NCT00088699.",8746
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,"Ketamine study: Protocol for naturalistic prospective multicenter study on subcutaneous ketamine infusion in depressed patients with active suicidal ideation.^
BACKGROUND: Psychiatric disorders are associated with more than 90% of reported suicide attempts worldwide, but few treatments have demonstrated a direct effect in reducing suicide risk. Ketamine, originally an anesthetic, has been shown anti-suicide effects in clinical trials designed to treat depression. However, changes at the biochemical level were assessed only in protocols of ketamine with very limited sample sizes, particularly when the subcutaneous route was considered. In addition, the inflammatory changes associated with ketamine effects and their correlation with response to treatment, dose-effect, and suicide risk warrant further investigation. Therefore, we aimed to assess whether ketamine results in better control of suicidal ideation and/or behavior in patients with depressive episodes and whether ketamine affects psychopathology and inflammatory biomarkers. MATERIALS AND METHODS: We report here the design of a naturalistic prospective multicenter study protocol of ketamine in depressive episodes carried out at Hospital de Clínicas de Porto Alegre (HCPA) and Hospital Moinhos de Vento (HMV). The study was planned to recruit adult patients with Major depressive disorder (MDD) or Bipolar disorder (BD) types 1 or 2, who are currently in a depressive episode and show symptoms of suicidal ideation and/or behavior according to the Columbia-Suicide Severity Rating Scale (C-SSRS) and have been prescribed ketamine by their assistant psychiatrist. Patients receive ketamine subcutaneously (SC) twice a week for 1 month, but the frequency can be changed or the dose decreased according to the assistant physician's decision. After the last ketamine session, patients are followed-up via telephone once a month for up to 6 months. The data will be analyzed using repeated measures statistics to evaluate the reduction in suicide risk as a primary outcome, as per C-SSRS. DISCUSSION: We discuss the need for studies with longer follow-ups designed to measure a direct impact on suicide risk and that additional information about the safety and tolerability of ketamine in particular subset of patients such as those with depression and ideation suicide. In line, the mechanism behind the immunomodulatory effects of ketamine is still poorly understood. TRIAL REGISTRATION: https://clinicaltrials.gov/, identifier NCT05249309.",394
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,"Effects of Ketamine Versus Midazolam on Neurocognition at 24 Hours in Depressed Patients With Suicidal Ideation.^
Objective: Subanesthetic ketamine rapidly reduces depressive symptoms and suicidal ideation in some depressed patients. Its effects on neurocognitive functioning in such individuals with significant suicidal ideation is not well understood, even though certain neurocognitive deficits are associated with suicide behavior beyond clinical symptoms. Methods: In this study, depressed patients with clinically significant suicidal ideation (n = 78) underwent neuropsychological testing before and 1 day after double-blind treatment with intravenous ketamine (n = 39) or midazolam (n = 39). A subgroup randomized to midazolam whose ideation did not remit after initial infusion received open ketamine and additional neurocognitive testing a day after this treatment. The primary outcome was change in performance on this neurocognitive battery. The study was conducted between November 2012 and January 2017. Results: Blinded ketamine produced rapid improvement in suicidal ideation and mood in comparison to midazolam, as we had reported previously. Ketamine, relative to midazolam, was also associated with specific improvement in reaction time (Choice RT) and interference processing/cognitive control (computerized Stroop task)-the latter a measure that has been associated with past suicide attempt in depression. In midazolam nonremitters later treated with open ketamine and retested, reaction time and interference processing/cognitive control also improved relative to both of their prior assessments. Neurocognitive improvement, however, was not correlated with changes in depression, suicidal thinking, or general mood. Conclusions: Overall, ketamine was found to have a positive therapeutic effect on neurocognition 1 day after treatment on at least 1 measure associated with suicidal behavior in the context of depression. Results suggest additional independent therapeutic effects for ketamine in the treatment of depressed patients at risk for suicidal behavior. Trial Registration: ClinicalTrials.gov identifier: NCT01700829.",4252
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,"LSD-induced changes in the functional connectivity of distinct thalamic nuclei.^
The role of the thalamus in mediating the effects of lysergic acid diethylamide (LSD) was recently proposed in a model of communication and corroborated by imaging studies. However, a detailed analysis of LSD effects on nuclei-resolved thalamocortical connectivity is still missing. Here, in a group of healthy volunteers, we evaluated whether LSD intake alters the thalamocortical coupling in a nucleus-specific manner. Structural and resting-state functional Magnetic Resonance Imaging (MRI) data were acquired in a placebo-controlled study on subjects exposed to acute LSD administration. Structural MRI was used to parcel the thalamus into its constituent nuclei based on individual anatomy. Nucleus-specific changes of resting-state functional MRI (rs-fMRI) connectivity were mapped using a seed-based approach. LSD intake selectively increased the thalamocortical functional connectivity (FC) of the ventral complex, pulvinar, and non-specific nuclei. Functional coupling was increased between these nuclei and sensory cortices that include the somatosensory and auditory networks. The ventral and pulvinar nuclei also exhibited increased FC with parts of the associative cortex that are dense in serotonin type 2A receptors. These areas are hyperactive and hyper-connected upon LSD intake. At subcortical levels, LSD increased the functional coupling among the thalamus's ventral, pulvinar, and non-specific nuclei, but decreased the striatal-thalamic connectivity. These findings unravel some LSD effects on the modulation of subcortical-cortical circuits and associated behavioral outputs.",1990
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,"MDMA ('ecstasy') consumption in the context of polydrug abuse: a report on 150 patients.^
The present study examined the characteristics and the possible psychopathological consequences of ecstasy (MDMA, 3,4-methylenedioxymethamphetamine) use. One hundred and fifty consecutive patients, presenting to the Padova (Italy) Addiction Treatment Unit and who had taken ecstasy on at least one occasion, were examined and studied using a semi-structured interview. Ninety-five percent of the patients had experimented with another drug of abuse at least once in their lifetime. Ecstasy was mainly self-administered at disco clubs, and reported acute psychoactive effects confirmed previous reports. Fifty-three percent of the total sample were found to be affected by one or more psychopathological problems; the most frequent were depression, psychotic disorders, cognitive disturbances, bulimic episodes, impulse control disorders, panic disorders, social phobia. Those who were free from any psychopathological problem, compared to the others, had taken a smaller number of MDMA tablets in their lifetime, for a shorter duration and with a lower frequency. Again, they were less likely to have used alcohol together with ecstasy but more likely to have used opiates. Longer-term, larger dosage (acute or cumulative) MDMA consumers were found to be at high risk of developing psychopathological disturbances. The results are discussed, taking into account both the ecstasy suggested serotonin (5-hydroxytryptamine) neurotoxicity and the various methodological issues pertaining to this kind of large-scale clinical study describing people for whom MDMA is far from being the only drug of abuse.",7702
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,"Exploring the effect of microdosing psychedelics on creativity in an open-label natural setting.^
INTRODUCTION: Taking microdoses (a mere fraction of normal doses) of psychedelic substances, such as truffles, recently gained popularity, as it allegedly has multiple beneficial effects including creativity and problem-solving performance, potentially through targeting serotonergic 5-HT(2A) receptors and promoting cognitive flexibility, crucial to creative thinking. Nevertheless, enhancing effects of microdosing remain anecdotal, and in the absence of quantitative research on microdosing psychedelics, it is impossible to draw definitive conclusions on that matter. Here, our main aim was to quantitatively explore the cognitive-enhancing potential of microdosing psychedelics in healthy adults. METHODS: During a microdosing event organized by the Dutch Psychedelic Society, we examined the effects of psychedelic truffles (which were later analyzed to quantify active psychedelic alkaloids) on two creativity-related problem-solving tasks: the Picture Concept Task assessing convergent thinking and the Alternative Uses Task assessing divergent thinking. A short version of the Ravens Progressive Matrices task assessed potential changes in fluid intelligence. We tested once before taking a microdose and once while the effects were expected to be manifested. RESULTS: We found that both convergent and divergent thinking performance was improved after a non-blinded microdose, whereas fluid intelligence was unaffected. CONCLUSION: While this study provides quantitative support for the cognitive-enhancing properties of microdosing psychedelics, future research has to confirm these preliminary findings in more rigorous placebo-controlled study designs. Based on these preliminary results, we speculate that psychedelics might affect cognitive metacontrol policies by optimizing the balance between cognitive persistence and flexibility. We hope this study will motivate future microdosing studies with more controlled designs to test this hypothesis.",7083
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,"Ketamine-Induced Modulation of the Thalamo-Cortical Network in Healthy Volunteers As a Model for Schizophrenia.^
BACKGROUND: Schizophrenia has been associated with disturbances of thalamic functioning. In light of recent evidence suggesting a significant impact of the glutamatergic system on key symptoms of schizophrenia, we assessed whether modulation of the glutamatergic system via blockage of the N-methyl-D-aspartate (NMDA)-receptor might lead to changes of thalamic functional connectivity. METHODS: Based on the ketamine model of psychosis, we investigated changes in cortico-thalamic functional connectivity by intravenous ketamine challenge during a 55-minute resting-state scan. Thirty healthy volunteers were measured with pharmacological functional magnetic resonance imaging using a double-blind, randomized, placebo-controlled, crossover design. RESULTS: Functional connectivity analysis revealed significant ketamine-specific changes within the thalamus hub network, more precisely, an increase of cortico-thalamic connectivity of the somatosensory and temporal cortex. CONCLUSIONS: Our results indicate that changes of thalamic functioning as described for schizophrenia can be partly mimicked by NMDA-receptor blockage. This adds substantial knowledge about the neurobiological mechanisms underlying the profound changes of perception and behavior during the application of NMDA-receptor antagonists.",3605
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"A systematic review of psychedelic-assisted psychotherapy for mental health: An evaluation of the current wave of research and suggestions for the future.^
Research on psychedelics has seen a recent revival, with many clinical trials focused on their therapeutic potential to treat a range of mental health conditions. The purpose of this systematic review was to evaluate clinical trials of psychedelic-assisted psychotherapy for mental health conditions from the present wave of psychedelic research (1990s to present). A total of 43 studies met criteria and were included. The conditions reviewed were substance use disorders; anxiety and/or depression, often associated with terminal illness; posttraumatic stress disorder; and obsessive–compulsive disorder. Quantitative results indicate that psychedelics can significantly reduce clinical outcomes associated with these mental health conditions. Common themes identified from qualitative reports included increased acceptance and processing of emotions, connectedness to others, forgiveness, self-compassion, insights into the self, peak or mystical experiences, ego dissolution, positive changes in worldview, motivation and commitment to change, changes in the relationship to the substance of abuse for those with substance use disorder, and acceptance of death for those with terminal illness. No serious, long-term adverse events were reported directly attributable to drug ingestion. We discuss the strengths and limitations of the research base, along with suggestions for clinical practice, potential therapeutic mechanisms, and directions for future research. Despite promising results, further work is needed to determine which psychedelic is best suited for diverse mental health conditions, the most appropriate type of psychotherapy to employ, and the psychological and neurobiological mechanisms underlying clinical benefits. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",9119
