id,text,Study Type: Randomized-controlled trial (RCT),Study Type: Cohort study,Study Type: Real-world study,Study Type: Study protocol,Study Type: Systematic review/meta-analysis,Study Type: Qualitative Study,Study Type: Case report,Study Type: Case series,Study Type: Other,Study Purpose: Efficacy endpoints,Study Purpose: Safety endpoints,Study Purpose: Pharmacokinetics,Study Purpose: Mechanism of action,Study Purpose: Disease model study,Study Purpose: Demographic study,Study Control: Placebo,Study Control: Active control,Study Control: Pre-post,Study Control: Other control,Study Control: Non-controlled,Study Control: Not applicable,Data Type: Longitudinal short,Data Type: Longitudinal long,Data Type: Cross-sectional,Data Type: Unknown,Data Type: Not applicable,Data Collection: Retrospective,Data Collection: Prospective,Data Collection: Unknown,Data Collection: Not applicable,Number of Participants: 1-20,Number of Participants: 21-40,Number of Participants: 41-60,Number of Participants: 61-80,Number of Participants: 81-100,Number of Participants: 100-199,Number of Participants: 200-499,Number of Participants: 500-999,Number of Participants: ≥1000,Number of Participants: Unknown,Number of Participants: Not applicable,Sex of Participants: Male,Sex of Participants: Female,Sex of Participants: Both sexes,Sex of Participants: Unknown,Sex of Participants: Not applicable,Age of Participants: Pediatric (< 18 years old),Age of Participants: Adult (≥18 years),Age of Participants: Unknown,Age of Participants: Not applicable,Condition: Psychiatric condition,Condition: Depression,Condition: Anxiety,Condition: Post-traumatic stress disorder (PTSD),Condition: Alcoholism,Condition: Other addictions (e.g. smoking),Condition: Anorexia,Condition: Alzheimer’s disease,Condition: Non-Alzheimer dementia,Condition: Substance abuse,Condition: (Chronic) Pain,Condition: Palliative Setting,Condition: Recreational Drug Use,Condition: Healthy Participants,Outcomes: The ability to drive a car,Outcomes: Suicide,Outcomes: Functional MRI,Outcomes: MRI,"Outcomes: PET, SPECT",Outcomes: Physiological Functions,Outcomes: Electroencephalography (EEG),Outcomes: Mental Functions,Outcomes: Psychedelic experience,Outcomes: Soluble biomarker,Outcomes: Surveys,Outcomes: Interviews,Outcomes: Neurotoxicity,Outcomes: Emergency department visits,Clinical Trial Phase: Phase 1,Clinical Trial Phase: Phase 2,Clinical Trial Phase: Phase 3,Clinical Trial Phase: Phase 4,Clinical Trial Phase: Unknown,Clinical Trial Phase: Not Applicable,Study Conclusion: Positive,Study Conclusion: Negative,Study Conclusion: Neutral,Study Conclusion: Mixed,Study Conclusion: Unknown,Study Conclusion: Not Applicable,Substances: Ketamine,Substances: S-Ketamine,Substances: R-Ketamine,Substances: MDMA,Substances: LSD,Substances: Psilocybin,Substances: Psychedelic mushrooms,Substances: Ayahuasca,Substances: DMT,Substances: 5-MeO-DMT,Substances: Mescaline,Substances: Ibogaine,Substances: Salvinorin A,Substances: Combination Therapy,Substances: Analogue,Substances: Unknown,Application Form: Oral,Application Form: Nasal,Application Form: Intravenous,Application Form: Smoking,Application Form: Subcutaneous,Application Form: Other,Application Form: Unknown,Application Form: Not applicable,Regimen: Microdosing,Regimen: Multiple Applications,Regimen: Single Dose,Regimen: Unknown,Setting: Clinical,Setting: Naturalistic,Setting: Party setting,Setting: Other setting,Setting: Unknown,Setting: Not applicable,Substance Naivety: Substance-Naïve Participants,Substance Naivety: Substance-non-naïve participants,Substance Naivety: Unknown,Substance Naivety: Not applicable
305,"Administration of Sub-anesthetic Dose of Ketamine and Electroconvulsive Treatment on Alternate Week Days in Patients with Treatment Resistant Depression: A Double Blind Placebo Controlled Trial.^
INTRODUCTION AND BACKGROUND: Patients with depression who fail to respond to at least two antidepressants in their current episode are considered to have Treatment Resistant Depression (TRD). ECT is an effective treatment of TRD but cognitive side effects limit its use. Ketamine elicits a rapid antidepressant response in sub-anesthetic repeated doses. ECT and ketamine may be modulating the glutamate system, therefore when administered in an interleaved fashion, they could have a synergistic effect. METHODS: 15 TRD patients were recruited and 12 were included in the analysis. Patients were randomly assigned to an ECT + iv. ketamine or ECT + iv. placebo (midazolam). At baseline and before each infusion, depression severity scales were administered. At baseline, halfway through and at the end of the study, cognitive tests were administered. RESULTS: There was no difference between the ketamine and placebo arms, per change in 17-item Hamilton Depression Scores (HAM-D), Young Mania Rating Scores or cognitive tests. Per HAMD scores, 3 ECT +ketamine subjects (42%) showed early remission (HAMD < 8) and maintained euthymia for 3 additional visits. None of the ECT +midazolam subjects (0%) achieved early remission. This difference showed a trend level significance (Chi square P-Value = 0.0910). CONCLUSION: The results of the study were limited due to the small sample size. However, a trend level difference in rates of early remission was seen, suggesting that ketamine + ECT may lead to a faster symptom relief. A larger sample size is needed for statistical confirmation.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
777,"Antidepressant effects of ketamine in depressed patients.^
BACKGROUND: A growing body of preclinical research suggests that brain glutamate systems may be involved in the pathophysiology of major depression and the mechanism of action of antidepressants. This is the first placebo-controlled, double-blinded trial to assess the treatment effects of a single dose of an N-methyl-D-aspartate (NMDA) receptor antagonist in patients with depression. METHODS: Seven subjects with major depression completed 2 test days that involved intravenous treatment with ketamine hydrochloride (.5 mg/kg) or saline solutions under randomized, double-blind conditions. RESULTS: Subjects with depression evidenced significant improvement in depressive symptoms within 72 hours after ketamine but not placebo infusion (i.e., mean 25-item Hamilton Depression Rating Scale scores decreased by 14 +/- SD 10 points vs. 0 +/- 12 points, respectively during active and sham treatment). CONCLUSIONS: These results suggest a potential role for NMDA receptor-modulating drugs in the treatment of depression.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1240,"Efficacy and Safety of Intranasal Esketamine for the Rapid Reduction of Symptoms of Depression and Suicidality in Patients at Imminent Risk for Suicide: Results of a Double-Blind, Randomized, Placebo-Controlled Study.^
OBJECTIVE: The authors compared the efficacy of standard-of-care treatment plus intranasal esketamine or placebo for rapid reduction of symptoms of major depression, including suicidality, among individuals at imminent suicide risk. METHOD: In a double-blind, multicenter, proof-of-concept study, 68 participants were randomly assigned to receive esketamine (84 mg) or placebo twice weekly for 4 weeks, in addition to comprehensive standard-of-care treatment. The primary efficacy endpoint was change in score from baseline to 4 hours after initial dose on the Montgomery-Åsberg Depression Rating Scale (MADRS). Clinician global judgment of suicide risk (from the Suicide Ideation and Behavior Assessment Tool) was also assessed. Secondary endpoints included these measures at 24 hours and double-blind endpoint at day 25. RESULTS: A significantly greater improvement in MADRS score was observed in the esketamine group compared with the placebo group at 4 hours (least-square mean difference=-5.3, SE=2.10; effect size=0.61) and at ∼24 hours (least-square mean difference=-7.2, SE=2.85; effect size=0.65), but not at day 25 (least-square mean difference=-4.5, SE=3.14; effect size=0.35). Significantly greater improvement was also observed in the esketamine group on the MADRS suicidal thoughts item score at 4 hours (effect size=0.67), but not at 24 hours (effect size=0.35) or at day 25 (effect size=0.29). Between-group reductions in clinician global judgment of suicide risk scores were not statistically different at any time point. The most common adverse events among participants in the esketamine group were nausea, dizziness, dissociation, unpleasant taste, and headache. CONCLUSIONS: These preliminary findings indicate that intranasal esketamine compared with placebo, given in addition to comprehensive standard-of-care treatment, may result in significantly rapid improvement in depressive symptoms, including some measures of suicidal ideation, among depressed patients at imminent risk for suicide.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1385,"A cluster randomised controlled trial of the Climate Schools: Ecstasy and Emerging Drugs Module in Australian secondary schools: study protocol.^
BACKGROUND: The use of ecstasy is a public health problem and is associated with a range of social costs and harms. In recent years, there has been growing concern about the availability and misuse of new and emerging drugs designed to mimic the effects of illicit drugs, including ecstasy. This, coupled with the fact that the age of use and the risk factors for using ecstasy and emerging drugs are similar, provides a compelling argument to implement prevention for these substances simultaneously. The proposed study will evaluate whether a universal Internet-based prevention program, known as the Climate Schools: Ecstasy and Emerging Drugs Module, can address and prevent the use of ecstasy and emerging drugs among adolescents. METHODS: A cluster randomised controlled trial will be conducted among Year 10 students (aged 15-16 years) from 12 secondary schools in Sydney, Australia. Schools will be randomly assigned to either the Climate Schools intervention group or the control group. All students will complete a self-report questionnaire at baseline, immediately post-intervention, and 6-, 12- and 24-months post-baseline. The primary outcome measures will include ecstasy and emerging drug-related knowledge, intentions to use these substances in the future, and the patterns of use of ecstasy and emerging drugs. A range of secondary outcomes will also be assessed, including beliefs and attitudes about ecstasy and emerging drugs, peer pressure resistance, other substance use and mental health outcomes. DISCUSSION: To our knowledge, this will be the first evaluation of an Internet-based program designed to specifically target ecstasy and NED use among adolescents. If deemed effective, the Climate Schools: Ecstasy and Emerging Drugs Module will provide schools with an interactive and novel prevention program for ecstasy and emerging drugs that can be readily implemented by teachers. TRIAL REGISTRATION: This trial is registered with the Australian New Zealand Clinical Trials Registry, ACTRN12613000708752.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1441,"Effects of treatment refractoriness and brain-derived neurotrophic factor Val66Met polymorphism on antidepressant response to low-dose ketamine infusion.^
Evidence suggests that levels of treatment refractoriness and brain-derived neurotrophic factor (BDNF) rs6265 polymorphism are related to the antidepressant effects of conventional antidepressants and repetitive transcranial magnetic stimulation. However, whether these factors are associated with the antidepressant effects of low-dose ketamine remains unclear. In total, 71 patients with treatment-resistant depression (TRD) were randomized to 0.5 mg/kg ketamine, 0.2 mg/kg ketamine, and saline control infusion groups. They were further divided into three treatment refractoriness groups according to the Maudsley staging method and were genotyped for Val66Met BDNF polymorphism. Participants' Hamilton Depression Rating Scale (HDRS) scores were assessed preinfusion, at 40, 80, 120, and 240 min postinfusion, and sequentially on days 2-7 and 14 after infusion. Patients with any Val allele exhibited an antidepressant response (p = 0.029) to 0.5 mg/kg ketamine vs. 0.2 mg/kg ketamine vs. saline control infusions. However, the trajectory of HDRS scores did not differ (p = 0.236) between the treatment groups among Met/Met carriers. In the low treatment refractoriness group, the 0.2 mg/kg ketamine infusion exhibited the optimal antidepressant effect (p = 0.002); in the moderate treatment refractoriness group, the 0.5 mg/kg ketamine infusion achieved the strongest antidepressant effect (p = 0.006); however, in the high treatment refractoriness group, the trajectory of depressive symptoms did not differ between treatments (p = 0.325). In future clinical practice, ketamine dose may be adjusted according to the level of treatment refractoriness and BDNF rs6265 polymorphism to achieve the optimal antidepressant effect for patients with TRD.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1692,"Predicting changes in substance use following psychedelic experiences: natural language processing of psychedelic session narratives.^
Background: Experiences with psychedelic drugs, such as psilocybin or lysergic acid diethylamide (LSD), are sometimes followed by changes in patterns of tobacco, opioid, and alcohol consumption. But, the specific characteristics of psychedelic experiences that lead to changes in drug consumption are unknown. Objective: Determine whether quantitative descriptions of psychedelic experiences derived using Natural Language Processing (NLP) would allow us to predict who would quit or reduce using drugs following a psychedelic experience. Methods: We recruited 1141 individuals (247 female, 894 male) from online social media platforms who reported quitting or reducing using alcohol, cannabis, opioids, or stimulants following a psychedelic experience to provide a verbal narrative of the psychedelic experience they attributed as leading to their reduction in drug use. We used NLP to derive topic models that quantitatively described each participant’s psychedelic experience narrative. We then used the vector descriptions of each participant’s psychedelic experience narrative as input into three different supervised machine learning algorithms to predict long-term drug reduction outcomes. Results: We found that the topic models derived through NLP led to quantitative descriptions of participant narratives that differed across participants when grouped by the drug class quit as well as the long-term quit/reduction outcomes. Additionally, all three machine learning algorithms led to similar prediction accuracy (~65%, CI = ±0.21%) for long-term quit/reduction outcomes. Conclusions: Using machine learning to analyze written reports of psychedelic experiences may allow for accurate prediction of quit outcomes and what drug is quit or reduced within psychedelic therapy.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2232,"Baseline delta sleep ratio predicts acute ketamine mood response in major depressive disorder.^
BACKGROUND: Electroencephalographic (EEG) sleep slow wave activity (SWA; EEG power between 0.6 and 4Hz) has been proposed as a marker of central synaptic plasticity. Decreased generation of sleep slow waves--a core feature of sleep in depression--indicates underlying plasticity changes in the disease. Various measures of SWA have previously been used to predict antidepressant treatment response. This study examined the relationship between baseline patterns of SWA in the first two NREM episodes and antidepressant response to an acute infusion of the N-methyl-d-aspartate (NMDA) antagonist ketamine. METHODS: Thirty patients (20M, 10F, 18-65) fulfilling DSM-IV criteria for treatment-resistant major depressive disorder (MDD) who had been drug-free for two weeks received a single open-label infusion of ketamine hydrochloride (.5mg/kg) over 40 min. Depressive symptoms were assessed with the Montgomery-Asberg Depression Rating Scale (MADRS) before and after ketamine infusion. Sleep recordings were obtained the night before the infusion and were visually scored. SWA was computed for individual artifact-free NREM sleep epochs, and averaged for each NREM episode. Delta sleep ratio (DSR) was calculated as SWA(NREM1)/SWA(NREM2). RESULTS: A significant positive correlation was observed between baseline DSR and reduced MADRS scores from baseline to Day 1 (r=.414, p=.02). LIMITATIONS: The sample size was relatively small (N=30) and all subjects had treatment-resistant MDD, which may limit the generalizability of the findings. Further studies are needed to replicate and extend this observation to other patient groups. CONCLUSIONS: DSR may be a useful baseline predictor of ketamine response in individuals with treatment-resistant MDD.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2465,"The influence of 5-HTT and COMT genotypes on verbal fluency in ecstasy users.^
Deficits in verbal fluency associated with ecstasy use have been well established; however, the mechanisms underlying this impairment have yet to be elucidated. In this study we investigated for the first time whether there was a disproportionate impairment in two cognitive subcomponents of verbal fluency: clustering (ability to generate words within the same subcategory) and switching (ability to change the subcategory). We also investigated a possible association between ecstasy use and verbal fluency in subjects genotyped for 5-HTT (5-HTTLPR and 5-HTTVNTR) and COMT (val108/158met, rs165599 and rs2097603) polymorphisms, in order to find a potential implication of genetic factors. Ecstasy polydrug users (n = 30) and non-ecstasy users (n = 41) were evaluated in both semantic and phonemic fluency. Results showed that ecstasy users had poorer semantic (but not phonemic) fluency performance than controls. Detailed analysis of clustering and switching performance revealed that this impairment was associated with poorer clustering mechanisms. Clustering was also modulated by the COMT rs165599 polymorphism independently of the group. A specific effect of the 5-HTTLPR polymorphism on switching performance was also found, with ss carriers performing significantly worse than ls and ll carriers, suggesting a serotonin modulation of frontal-executive flexibility. Based on the impaired clustering and switching strategies observed in ecstasy users, it might be proposed that both semantic knowledge and retrieval are impaired in this population. The verbal fluency deficit in ecstasy users may be attributable to a disruption of frontal-striatal circuits directly related with the serotonin function as well as a depletion of lexical-semantic stores mediated by temporal structures. © The Author(s) 2010.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2483,"Semantic activation in LSD: evidence from picture naming.^
Lysergic acid diethylamide (LSD) is a classic psychedelic drug that alters cognition in a characteristic way. It has been suggested that psychedelics expand the breadth of cognition via actions on the central nervous system. Previous work has shown changes in semantic processing under psilocybin (a related psychedelic to LSD) that are consistent with an increased spread of semantic activation. The present study investigates this further using a picture-naming task and the psychedelic, LSD. Ten participants completed the task under placebo and LSD. Results revealed significant effects of LSD on accuracy and error correction that were consistent with an increased spread of semantic activation under LSD. These results are consistent with a generalised “entropic” effect on the mind. We suggest incorporating direct neuroimaging measures in future studies, and to employ more naturalistic measures of semantic processing that may enhance ecological validity.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2737,"Electroconvulsive therapy in the treatment of depression in a former ecstasy user.^
Depression in former ecstasy users may not respond to selective serotonin reuptake inhibitors (SSRIs) possibly due to damaged serotonergic synapses following long-term heavy ecstasy use. We report findings in a patient suffering from MDMA-induced depression which was refractory to several antidepressive medications including selective noradrenergic reuptake inhibitor (SNRI) and SSRI. An add-on repeated bilateral electroconvulsive therapy (ECT) was able to achieve a stable remission of affective and cognitive symptoms with a follow-up of more than 1.5 years. Add-on ECT could be a treatment option in former ecstasy users with severe depressive disorders that fail to respond to SSRI and/or SNRI. Clinical trials are needed to evaluate further the usefulness of ECT in this patient group.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
