dosage	id	context	text
5 , 10 , and 20 µg	3638	doses of LSD base ( 5 , 10 , and 20 µg ) and placebo were administered	"Pharmacokinetics and Pharmacodynamics of Lysergic Acid Diethylamide Microdoses in Healthy Participants.^ 
 "" Microdoses "" of lysergic acid diethylamide ( LSD ) are used recreationally to enhance mood and cognition . Increasing interest has also been seen in developing LSD into a medication . Therefore , we performed a pharmacokinetic - pharmacodynamic study using very low doses of LSD . Single doses of LSD base ( 5 , 10 , and 20 µg ) and placebo were administered in a double - blind , randomized , placebo - controlled crossover study in 23 healthy participants . Test days were separated by at least 5 days . Plasma levels of LSD and subjective effects were assessed up to 6 hours after administration . Pharmacokinetic parameters were determined using compartmental modeling . Concentration - subjective effect relationships were described using pharmacokinetic - pharmacodynamic modeling . Mean ( 95 % confidence interval ) maximal LSD concentrations were 151 pg / mL ( 127 - 181 ) , 279 pg / mL ( 243 - 320 ) , and 500 pg / mL ( 413 - 607 ) after 5 , 10 , and 20 µg LSD administration , respectively . Maximal concentrations were reached after 1.1 hours . The mean elimination half - life was 2.7 hours ( 1.5 - 6.2 ) . The 5 µg dose of LSD elicited no significant acute subjective effects . The 10 µg dose of LSD significantly increased ratings of "" under the influence "" and "" good drug effect "" compared with placebo . These effects began an average of 1.1 hours after 10 µg LSD administration , peaked at 2.5 hours , and ended at 5.1 hours . The 20 µg dose of LSD significantly increased ratings of "" under the influence , "" "" good drug effects , "" and "" bad drug effects . "" LSD concentrations dose - proportionally increased at doses as low as 5 - 20 µg and decreased with a half - life of 3 hours . The threshold dose of LSD base for psychotropic effects was 10 µg ."
5 , 10 , and 20 µg	3638	413 - 607 ) after 5 , 10 , and 20 µg LSD administration , respectively .	"Pharmacokinetics and Pharmacodynamics of Lysergic Acid Diethylamide Microdoses in Healthy Participants.^ 
 "" Microdoses "" of lysergic acid diethylamide ( LSD ) are used recreationally to enhance mood and cognition . Increasing interest has also been seen in developing LSD into a medication . Therefore , we performed a pharmacokinetic - pharmacodynamic study using very low doses of LSD . Single doses of LSD base ( 5 , 10 , and 20 µg ) and placebo were administered in a double - blind , randomized , placebo - controlled crossover study in 23 healthy participants . Test days were separated by at least 5 days . Plasma levels of LSD and subjective effects were assessed up to 6 hours after administration . Pharmacokinetic parameters were determined using compartmental modeling . Concentration - subjective effect relationships were described using pharmacokinetic - pharmacodynamic modeling . Mean ( 95 % confidence interval ) maximal LSD concentrations were 151 pg / mL ( 127 - 181 ) , 279 pg / mL ( 243 - 320 ) , and 500 pg / mL ( 413 - 607 ) after 5 , 10 , and 20 µg LSD administration , respectively . Maximal concentrations were reached after 1.1 hours . The mean elimination half - life was 2.7 hours ( 1.5 - 6.2 ) . The 5 µg dose of LSD elicited no significant acute subjective effects . The 10 µg dose of LSD significantly increased ratings of "" under the influence "" and "" good drug effect "" compared with placebo . These effects began an average of 1.1 hours after 10 µg LSD administration , peaked at 2.5 hours , and ended at 5.1 hours . The 20 µg dose of LSD significantly increased ratings of "" under the influence , "" "" good drug effects , "" and "" bad drug effects . "" LSD concentrations dose - proportionally increased at doses as low as 5 - 20 µg and decreased with a half - life of 3 hours . The threshold dose of LSD base for psychotropic effects was 10 µg ."
5 µg	3638	- 6.2 ) . The 5 µg dose of LSD elicited no	"Pharmacokinetics and Pharmacodynamics of Lysergic Acid Diethylamide Microdoses in Healthy Participants.^ 
 "" Microdoses "" of lysergic acid diethylamide ( LSD ) are used recreationally to enhance mood and cognition . Increasing interest has also been seen in developing LSD into a medication . Therefore , we performed a pharmacokinetic - pharmacodynamic study using very low doses of LSD . Single doses of LSD base ( 5 , 10 , and 20 µg ) and placebo were administered in a double - blind , randomized , placebo - controlled crossover study in 23 healthy participants . Test days were separated by at least 5 days . Plasma levels of LSD and subjective effects were assessed up to 6 hours after administration . Pharmacokinetic parameters were determined using compartmental modeling . Concentration - subjective effect relationships were described using pharmacokinetic - pharmacodynamic modeling . Mean ( 95 % confidence interval ) maximal LSD concentrations were 151 pg / mL ( 127 - 181 ) , 279 pg / mL ( 243 - 320 ) , and 500 pg / mL ( 413 - 607 ) after 5 , 10 , and 20 µg LSD administration , respectively . Maximal concentrations were reached after 1.1 hours . The mean elimination half - life was 2.7 hours ( 1.5 - 6.2 ) . The 5 µg dose of LSD elicited no significant acute subjective effects . The 10 µg dose of LSD significantly increased ratings of "" under the influence "" and "" good drug effect "" compared with placebo . These effects began an average of 1.1 hours after 10 µg LSD administration , peaked at 2.5 hours , and ended at 5.1 hours . The 20 µg dose of LSD significantly increased ratings of "" under the influence , "" "" good drug effects , "" and "" bad drug effects . "" LSD concentrations dose - proportionally increased at doses as low as 5 - 20 µg and decreased with a half - life of 3 hours . The threshold dose of LSD base for psychotropic effects was 10 µg ."
10 µg	3638	acute subjective effects . The 10 µg dose of LSD significantly increased	"Pharmacokinetics and Pharmacodynamics of Lysergic Acid Diethylamide Microdoses in Healthy Participants.^ 
 "" Microdoses "" of lysergic acid diethylamide ( LSD ) are used recreationally to enhance mood and cognition . Increasing interest has also been seen in developing LSD into a medication . Therefore , we performed a pharmacokinetic - pharmacodynamic study using very low doses of LSD . Single doses of LSD base ( 5 , 10 , and 20 µg ) and placebo were administered in a double - blind , randomized , placebo - controlled crossover study in 23 healthy participants . Test days were separated by at least 5 days . Plasma levels of LSD and subjective effects were assessed up to 6 hours after administration . Pharmacokinetic parameters were determined using compartmental modeling . Concentration - subjective effect relationships were described using pharmacokinetic - pharmacodynamic modeling . Mean ( 95 % confidence interval ) maximal LSD concentrations were 151 pg / mL ( 127 - 181 ) , 279 pg / mL ( 243 - 320 ) , and 500 pg / mL ( 413 - 607 ) after 5 , 10 , and 20 µg LSD administration , respectively . Maximal concentrations were reached after 1.1 hours . The mean elimination half - life was 2.7 hours ( 1.5 - 6.2 ) . The 5 µg dose of LSD elicited no significant acute subjective effects . The 10 µg dose of LSD significantly increased ratings of "" under the influence "" and "" good drug effect "" compared with placebo . These effects began an average of 1.1 hours after 10 µg LSD administration , peaked at 2.5 hours , and ended at 5.1 hours . The 20 µg dose of LSD significantly increased ratings of "" under the influence , "" "" good drug effects , "" and "" bad drug effects . "" LSD concentrations dose - proportionally increased at doses as low as 5 - 20 µg and decreased with a half - life of 3 hours . The threshold dose of LSD base for psychotropic effects was 10 µg ."
10 µg	3638	average of 1.1 hours after 10 µg LSD administration , peaked at	"Pharmacokinetics and Pharmacodynamics of Lysergic Acid Diethylamide Microdoses in Healthy Participants.^ 
 "" Microdoses "" of lysergic acid diethylamide ( LSD ) are used recreationally to enhance mood and cognition . Increasing interest has also been seen in developing LSD into a medication . Therefore , we performed a pharmacokinetic - pharmacodynamic study using very low doses of LSD . Single doses of LSD base ( 5 , 10 , and 20 µg ) and placebo were administered in a double - blind , randomized , placebo - controlled crossover study in 23 healthy participants . Test days were separated by at least 5 days . Plasma levels of LSD and subjective effects were assessed up to 6 hours after administration . Pharmacokinetic parameters were determined using compartmental modeling . Concentration - subjective effect relationships were described using pharmacokinetic - pharmacodynamic modeling . Mean ( 95 % confidence interval ) maximal LSD concentrations were 151 pg / mL ( 127 - 181 ) , 279 pg / mL ( 243 - 320 ) , and 500 pg / mL ( 413 - 607 ) after 5 , 10 , and 20 µg LSD administration , respectively . Maximal concentrations were reached after 1.1 hours . The mean elimination half - life was 2.7 hours ( 1.5 - 6.2 ) . The 5 µg dose of LSD elicited no significant acute subjective effects . The 10 µg dose of LSD significantly increased ratings of "" under the influence "" and "" good drug effect "" compared with placebo . These effects began an average of 1.1 hours after 10 µg LSD administration , peaked at 2.5 hours , and ended at 5.1 hours . The 20 µg dose of LSD significantly increased ratings of "" under the influence , "" "" good drug effects , "" and "" bad drug effects . "" LSD concentrations dose - proportionally increased at doses as low as 5 - 20 µg and decreased with a half - life of 3 hours . The threshold dose of LSD base for psychotropic effects was 10 µg ."
20 µg	3638	at 5.1 hours . The 20 µg dose of LSD significantly increased	"Pharmacokinetics and Pharmacodynamics of Lysergic Acid Diethylamide Microdoses in Healthy Participants.^ 
 "" Microdoses "" of lysergic acid diethylamide ( LSD ) are used recreationally to enhance mood and cognition . Increasing interest has also been seen in developing LSD into a medication . Therefore , we performed a pharmacokinetic - pharmacodynamic study using very low doses of LSD . Single doses of LSD base ( 5 , 10 , and 20 µg ) and placebo were administered in a double - blind , randomized , placebo - controlled crossover study in 23 healthy participants . Test days were separated by at least 5 days . Plasma levels of LSD and subjective effects were assessed up to 6 hours after administration . Pharmacokinetic parameters were determined using compartmental modeling . Concentration - subjective effect relationships were described using pharmacokinetic - pharmacodynamic modeling . Mean ( 95 % confidence interval ) maximal LSD concentrations were 151 pg / mL ( 127 - 181 ) , 279 pg / mL ( 243 - 320 ) , and 500 pg / mL ( 413 - 607 ) after 5 , 10 , and 20 µg LSD administration , respectively . Maximal concentrations were reached after 1.1 hours . The mean elimination half - life was 2.7 hours ( 1.5 - 6.2 ) . The 5 µg dose of LSD elicited no significant acute subjective effects . The 10 µg dose of LSD significantly increased ratings of "" under the influence "" and "" good drug effect "" compared with placebo . These effects began an average of 1.1 hours after 10 µg LSD administration , peaked at 2.5 hours , and ended at 5.1 hours . The 20 µg dose of LSD significantly increased ratings of "" under the influence , "" "" good drug effects , "" and "" bad drug effects . "" LSD concentrations dose - proportionally increased at doses as low as 5 - 20 µg and decreased with a half - life of 3 hours . The threshold dose of LSD base for psychotropic effects was 10 µg ."
5 - 20 µg	3638	at doses as low as 5 - 20 µg and decreased with a half	"Pharmacokinetics and Pharmacodynamics of Lysergic Acid Diethylamide Microdoses in Healthy Participants.^ 
 "" Microdoses "" of lysergic acid diethylamide ( LSD ) are used recreationally to enhance mood and cognition . Increasing interest has also been seen in developing LSD into a medication . Therefore , we performed a pharmacokinetic - pharmacodynamic study using very low doses of LSD . Single doses of LSD base ( 5 , 10 , and 20 µg ) and placebo were administered in a double - blind , randomized , placebo - controlled crossover study in 23 healthy participants . Test days were separated by at least 5 days . Plasma levels of LSD and subjective effects were assessed up to 6 hours after administration . Pharmacokinetic parameters were determined using compartmental modeling . Concentration - subjective effect relationships were described using pharmacokinetic - pharmacodynamic modeling . Mean ( 95 % confidence interval ) maximal LSD concentrations were 151 pg / mL ( 127 - 181 ) , 279 pg / mL ( 243 - 320 ) , and 500 pg / mL ( 413 - 607 ) after 5 , 10 , and 20 µg LSD administration , respectively . Maximal concentrations were reached after 1.1 hours . The mean elimination half - life was 2.7 hours ( 1.5 - 6.2 ) . The 5 µg dose of LSD elicited no significant acute subjective effects . The 10 µg dose of LSD significantly increased ratings of "" under the influence "" and "" good drug effect "" compared with placebo . These effects began an average of 1.1 hours after 10 µg LSD administration , peaked at 2.5 hours , and ended at 5.1 hours . The 20 µg dose of LSD significantly increased ratings of "" under the influence , "" "" good drug effects , "" and "" bad drug effects . "" LSD concentrations dose - proportionally increased at doses as low as 5 - 20 µg and decreased with a half - life of 3 hours . The threshold dose of LSD base for psychotropic effects was 10 µg ."
10 µg	3638	base for psychotropic effects was 10 µg .	"Pharmacokinetics and Pharmacodynamics of Lysergic Acid Diethylamide Microdoses in Healthy Participants.^ 
 "" Microdoses "" of lysergic acid diethylamide ( LSD ) are used recreationally to enhance mood and cognition . Increasing interest has also been seen in developing LSD into a medication . Therefore , we performed a pharmacokinetic - pharmacodynamic study using very low doses of LSD . Single doses of LSD base ( 5 , 10 , and 20 µg ) and placebo were administered in a double - blind , randomized , placebo - controlled crossover study in 23 healthy participants . Test days were separated by at least 5 days . Plasma levels of LSD and subjective effects were assessed up to 6 hours after administration . Pharmacokinetic parameters were determined using compartmental modeling . Concentration - subjective effect relationships were described using pharmacokinetic - pharmacodynamic modeling . Mean ( 95 % confidence interval ) maximal LSD concentrations were 151 pg / mL ( 127 - 181 ) , 279 pg / mL ( 243 - 320 ) , and 500 pg / mL ( 413 - 607 ) after 5 , 10 , and 20 µg LSD administration , respectively . Maximal concentrations were reached after 1.1 hours . The mean elimination half - life was 2.7 hours ( 1.5 - 6.2 ) . The 5 µg dose of LSD elicited no significant acute subjective effects . The 10 µg dose of LSD significantly increased ratings of "" under the influence "" and "" good drug effect "" compared with placebo . These effects began an average of 1.1 hours after 10 µg LSD administration , peaked at 2.5 hours , and ended at 5.1 hours . The 20 µg dose of LSD significantly increased ratings of "" under the influence , "" "" good drug effects , "" and "" bad drug effects . "" LSD concentrations dose - proportionally increased at doses as low as 5 - 20 µg and decreased with a half - life of 3 hours . The threshold dose of LSD base for psychotropic effects was 10 µg ."
0.26 mg / kg	1961	1 - minute bolus of 0.26 mg / kg , followed by a maintenance	"Glutamate and the neural basis of the subjective effects of ketamine : a pharmaco - magnetic resonance imaging study.^ 
 CONTEXT : Ketamine evokes psychosislike symptoms , and its primary action is to impair N - methyl - D - aspartate glutamate receptor neurotransmission , but it also induces secondary increases in glutamate release . OBJECTIVES : To identify the sites of action of ketamine in inducing symptoms and to determine the role of increased glutamate release using the glutamate release inhibitor lamotrigine . DESIGN : Two experiments with different participants were performed using a double - blind , placebo - controlled , randomized , crossover , counterbalanced - order design . In the first experiment , the effect of intravenous ketamine hydrochloride on regional blood oxygenation level - dependent ( BOLD ) signal and correlated symptoms was compared with intravenous saline placebo . In the second experiment , pretreatment with lamotrigine was compared with placebo to identify which effects of ketamine are mediated by increased glutamate release . SETTING : Wellcome Trust Clinical Research Facility , Manchester , England . PARTICIPANTS : Thirty - three healthy , right - handed men were recruited by advertisements . INTERVENTIONS : In experiment 1 , participants were given intravenous ketamine ( 1 - minute bolus of 0.26 mg / kg , followed by a maintenance infusion of 0.25 mg / kg / h for the remainder of the session ) or placebo ( 0.9 % saline solution ) . In experiment 2 , participants were pretreated with 300 mg of lamotrigine or placebo and then were given the same doses of ketamine as in experiment 1 . MAIN OUTCOME MEASURES : Regional BOLD signal changes during ketamine or placebo infusion and Brief Psychiatric Rating Scale and Clinician - Administered Dissociative States Scale scores . RESULTS : Ketamine induced a rapid , focal , and unexpected decrease in ventromedial frontal cortex , including orbitofrontal cortex and subgenual cingulate , which strongly predicted its dissociative effects and increased activity in mid - posterior cingulate , thalamus , and temporal cortical regions ( r = 0.90 ) . Activations correlated with Brief Psychiatric Rating Scale psychosis scores . Lamotrigine pretreatment prevented many of the BOLD signal changes and the symptoms . CONCLUSIONS : These 2 changes may underpin 2 fundamental processes of psychosis : abnormal perceptual experiences and impaired cognitive - emotional evaluation of their significance . The results are compatible with the theory that the neural and subjective effects of ketamine involve increased glutamate release ."
0.25 mg / kg / h	1961	by a maintenance infusion of 0.25 mg / kg / h for the remainder of the	"Glutamate and the neural basis of the subjective effects of ketamine : a pharmaco - magnetic resonance imaging study.^ 
 CONTEXT : Ketamine evokes psychosislike symptoms , and its primary action is to impair N - methyl - D - aspartate glutamate receptor neurotransmission , but it also induces secondary increases in glutamate release . OBJECTIVES : To identify the sites of action of ketamine in inducing symptoms and to determine the role of increased glutamate release using the glutamate release inhibitor lamotrigine . DESIGN : Two experiments with different participants were performed using a double - blind , placebo - controlled , randomized , crossover , counterbalanced - order design . In the first experiment , the effect of intravenous ketamine hydrochloride on regional blood oxygenation level - dependent ( BOLD ) signal and correlated symptoms was compared with intravenous saline placebo . In the second experiment , pretreatment with lamotrigine was compared with placebo to identify which effects of ketamine are mediated by increased glutamate release . SETTING : Wellcome Trust Clinical Research Facility , Manchester , England . PARTICIPANTS : Thirty - three healthy , right - handed men were recruited by advertisements . INTERVENTIONS : In experiment 1 , participants were given intravenous ketamine ( 1 - minute bolus of 0.26 mg / kg , followed by a maintenance infusion of 0.25 mg / kg / h for the remainder of the session ) or placebo ( 0.9 % saline solution ) . In experiment 2 , participants were pretreated with 300 mg of lamotrigine or placebo and then were given the same doses of ketamine as in experiment 1 . MAIN OUTCOME MEASURES : Regional BOLD signal changes during ketamine or placebo infusion and Brief Psychiatric Rating Scale and Clinician - Administered Dissociative States Scale scores . RESULTS : Ketamine induced a rapid , focal , and unexpected decrease in ventromedial frontal cortex , including orbitofrontal cortex and subgenual cingulate , which strongly predicted its dissociative effects and increased activity in mid - posterior cingulate , thalamus , and temporal cortical regions ( r = 0.90 ) . Activations correlated with Brief Psychiatric Rating Scale psychosis scores . Lamotrigine pretreatment prevented many of the BOLD signal changes and the symptoms . CONCLUSIONS : These 2 changes may underpin 2 fundamental processes of psychosis : abnormal perceptual experiences and impaired cognitive - emotional evaluation of their significance . The results are compatible with the theory that the neural and subjective effects of ketamine involve increased glutamate release ."
