Krippendorff,Cohen,Percent_Agreement,Krippendorff_Quality,Krippendorff_CI,Task,Cohen_Quality,Cohen_CI
0.6004972831021526,,84.78260869565217,Poor Agreement -> WORK REQUIRED,0.34637295123347345,Age of Participants,,
0.8493306238268188,,80.43478260869566,Substantial Agreement,0.11061706633501356,Application Form,,
0.3983471074380166,0.3858405160672262,60.86956521739131,Poor Agreement -> WORK REQUIRED,0.2617067654778643,Clinical Trial Phase,Minimal Agreement -> WORK REQUIRED,0.3085714245359556
0.8301109055685965,,69.56521739130434,Substantial Agreement,0.10013031680220807,Condition,,
0.5820040440350484,0.5982452770420716,58.69565217391305,Poor Agreement -> WORK REQUIRED,0.21857616673416702,Data Collection,Weak Agreement -> WORK REQUIRED,0.21215578055230552
0.5539952640563908,0.5467674743757293,36.95652173913043,Poor Agreement -> WORK REQUIRED,0.18050529200351362,Data Type,Weak Agreement -> WORK REQUIRED,0.18421951378186352
0.8247863247863247,0.8240267114173768,73.91304347826086,Substantial Agreement,0.10675021019901376,Number of Participants,Strong Agreement,0.11948971049344455
0.4570706826320813,,26.08695652173913,Poor Agreement -> WORK REQUIRED,0.14869626541276237,Outcomes,,
0.4544047977449164,,32.608695652173914,Poor Agreement -> WORK REQUIRED,0.18591678603360717,Regimen,,
0.7435862329124338,,73.91304347826086,Moderate Agreement,0.16682965604663147,Setting,,
0.774356504186805,,82.6086956521739,Moderate Agreement,0.18750097316171765,Sex of Participants,,
0.38869748944453675,,45.65217391304348,Poor Agreement -> WORK REQUIRED,0.242693731808435,Study Conclusion,,
0.6004374523092457,,45.65217391304348,Poor Agreement -> WORK REQUIRED,0.15552088143876042,Study Control,,
0.5943196934527936,,32.608695652173914,Poor Agreement -> WORK REQUIRED,0.13282898584216063,Study Purpose,,
0.7503989626969878,0.743971800805038,65.21739130434783,Moderate Agreement,0.1303596412833129,Study Type,Moderate Agreement,0.14419890890125828
0.5951951421226578,,65.21739130434783,Poor Agreement -> WORK REQUIRED,0.21361520746558071,Substance Naivety,,
0.7719904235232047,,56.52173913043478,Moderate Agreement,0.09894756656046377,Substances,,
