Krippendorff,Cohen,Percent_Agreement,Krippendorff_Quality,Krippendorff_CI,Task,Cohen_Quality,Cohen_CI
0.3524667931688805,,85.1063829787234,Poor Agreement -> WORK REQUIRED,0.6981446310082546,Age of Participants,,
0.8583881160196107,,89.36170212765957,Substantial Agreement,0.1515640366069172,Application Form,,
0.6061176470588235,0.603189493433396,80.85106382978722,Poor Agreement -> WORK REQUIRED,0.2977039945918929,Clinical Trial Phase,Moderate Agreement,0.2331099700968082
0.8423129215430141,,82.97872340425532,Substantial Agreement,0.13347877794884366,Condition,,
0.47689835275210934,0.4926754047802621,70.2127659574468,Poor Agreement -> WORK REQUIRED,0.3352757687602702,Data Collection,Weak Agreement -> WORK REQUIRED,0.2226824608477635
0.5749082415749083,0.5588235294117646,68.08510638297872,Poor Agreement -> WORK REQUIRED,0.25050159354920865,Data Type,Weak Agreement -> WORK REQUIRED,0.1842251182819346
0.8262146289375334,0.8247202983484283,85.1063829787234,Substantial Agreement,0.1362329384601928,Number of Participants,Strong Agreement,0.11978977339760032
0.5004392788809708,,51.06382978723404,Poor Agreement -> WORK REQUIRED,0.2356739515984746,Outcomes,,
0.631320055172877,,68.08510638297872,Poor Agreement -> WORK REQUIRED,0.26538541772375224,Regimen,,
0.7267798462972717,,85.1063829787234,Moderate Agreement,0.24210306748088162,Setting,,
0.7578827823291738,,89.36170212765957,Moderate Agreement,0.26099384463873143,Sex of Participants,,
0.1338205689794616,,48.93617021276596,Poor Agreement -> WORK REQUIRED,0.3755362487644698,Study Conclusion,,
0.6821975237894164,,74.46808510638297,Moderate Agreement,0.2170903008016567,Study Control,,
0.6662218333442917,,61.702127659574465,Poor Agreement -> WORK REQUIRED,0.18034348015464996,Study Purpose,,
0.8097047646886876,0.8079392877991828,85.1063829787234,Substantial Agreement,0.15630218828744602,Study Type,Strong Agreement,0.1312582630865708
0.5731750995275027,,76.59574468085107,Poor Agreement -> WORK REQUIRED,0.3069996784409116,Substance Naivety,,
0.75877048266742,,72.3404255319149,Moderate Agreement,0.1569869256213663,Substances,,
