Krippendorff,Cohen,Percent_Agreement,Krippendorff_Quality,Krippendorff_CI,Task,Cohen_Quality,Cohen_CI
0.9002349306471856,,95.83333333333334,Substantial Agreement,0.2090201604586891,Age of Participants,,
0.9122807017543859,0.9114391143911439,93.75,Substantial Agreement,0.10379067734928649,Application Form,Almost Perfect Agreement,0.09703379858080269
0.2614861032331254,0.264555669050051,68.75,Poor Agreement -> WORK REQUIRED,0.4564926320882019,Clinical Trial Phase,Minimal Agreement -> WORK REQUIRED,0.30860048033728693
0.8105751348566615,,77.08333333333334,Substantial Agreement,0.13939355309638013,Condition,,
0.5798319327731092,0.5822454308093996,79.16666666666666,Poor Agreement -> WORK REQUIRED,0.33261231126209334,Data Collection,Weak Agreement -> WORK REQUIRED,0.2303819551723091
0.6973558458107678,0.6973518284993694,79.16666666666666,Moderate Agreement,0.23720385259840915,Data Type,Moderate Agreement,0.16690344671688725
0.8784233427181981,0.8773006134969327,89.58333333333334,Substantial Agreement,0.13446826761609498,Number of Participants,Strong Agreement,0.10179514598949929
0.5223790781139013,,52.083333333333336,Poor Agreement -> WORK REQUIRED,0.2441415103652459,Outcomes,,
0.523377794947774,,62.5,Poor Agreement -> WORK REQUIRED,0.30000502498389503,Regimen,,
0.8015043877977435,0.8009950248756219,89.58333333333334,Substantial Agreement,0.22317692366646225,Setting,Strong Agreement,0.16510058503769537
0.8090452261306533,0.8074222668004014,91.66666666666666,Substantial Agreement,0.21260945540969012,Sex of Participants,Strong Agreement,0.18069155927325226
0.5537287140340577,0.5492957746478874,83.33333333333334,Poor Agreement -> WORK REQUIRED,0.4050141521507815,Study Conclusion,Weak Agreement -> WORK REQUIRED,0.285109759946161
0.6458273587611127,0.6442417331812998,72.91666666666666,Poor Agreement -> WORK REQUIRED,0.2190002666246409,Study Control,Moderate Agreement,0.165140197380825
0.6199581707797135,,58.333333333333336,Poor Agreement -> WORK REQUIRED,0.1977796747936258,Study Purpose,,
0.7856135401974612,0.7846326416152553,83.33333333333334,Moderate Agreement,0.1771349543214773,Study Type,Moderate Agreement,0.13623865141566413
0.6764060090713173,,83.33333333333334,Moderate Agreement,0.26656903968769075,Substance Naivety,,
0.8811942841846001,,85.41666666666666,Substantial Agreement,0.09361457421951391,Substances,,
