Krippendorff,Cohen,Percent_Agreement,Krippendorff_Quality,Krippendorff_CI,Task,Cohen_Quality,Cohen_CI
0.782088122605364,,93.61702127659575,Moderate Agreement,0.4101172030171957,Age of Participants,,
0.9117367921543815,0.9108159392789374,93.61702127659575,Substantial Agreement,0.11190260441794397,Application Form,Almost Perfect Agreement,0.09764726777566053
0.38925373134328356,0.4111617312072895,76.59574468085107,Poor Agreement -> WORK REQUIRED,0.47993556658460074,Clinical Trial Phase,Weak Agreement -> WORK REQUIRED,0.3045496308214314
0.8715676655515613,,85.1063829787234,Substantial Agreement,0.11308837401063399,Condition,,
0.9035769828926905,0.9025906735751297,95.74468085106383,Substantial Agreement,0.13750056816979395,Data Collection,Almost Perfect Agreement,0.13209882106262308
0.5485436893203883,0.5486194477791115,65.95744680851064,Poor Agreement -> WORK REQUIRED,0.25036499290945424,Data Type,Weak Agreement -> WORK REQUIRED,0.17962667937875118
0.9000537345513165,0.8991416309012875,91.48936170212765,Substantial Agreement,0.1212438435862202,Number of Participants,Strong Agreement,0.09454168007351607
0.28905422920793755,,27.659574468085108,Poor Agreement -> WORK REQUIRED,0.24346710125495785,Outcomes,,
0.3388441874929101,,46.808510638297875,Poor Agreement -> WORK REQUIRED,0.28499167637473444,Regimen,,
0.7012048192771084,0.7006369426751594,82.97872340425532,Moderate Agreement,0.24983046317135094,Setting,Moderate Agreement,0.18896991074084318
0.9008,0.8998935037273696,95.74468085106383,Substantial Agreement,0.15976933208918276,Sex of Participants,Strong Agreement,0.13575650939875533
0.6856338028169014,0.6827896512935885,87.2340425531915,Moderate Agreement,0.319408447589562,Study Conclusion,Moderate Agreement,0.23706683024279032
0.5786897991037117,,63.829787234042556,Poor Agreement -> WORK REQUIRED,0.23627833385505193,Study Control,,
0.5707521100014776,,53.191489361702125,Poor Agreement -> WORK REQUIRED,0.19062679332196497,Study Purpose,,
0.7601054481546573,0.7420417124039517,78.72340425531915,Moderate Agreement,0.19114334130834032,Study Type,Moderate Agreement,0.14185919456445717
0.779685202911835,,89.36170212765957,Moderate Agreement,0.24838859368393784,Substance Naivety,,
0.7846182441658587,,74.46808510638297,Moderate Agreement,0.1422607640289607,Substances,,
