Krippendorff,Cohen,Percent_Agreement,Krippendorff_Quality,Krippendorff_CI,Cohen_Quality,Cohen_CI,Task
0.5438972162740899,0.5404255319148943,91.66666666666666,Poor Agreement -> WORK REQUIRED,1.0,Weak Agreement -> WORK REQUIRED,0.49791711746271655,Age of Participants
0.8412880966072456,0.806243272335845,86.11111111111111,Substantial Agreement,0.1803942204718244,Strong Agreement,0.15760045131576692,Application Form
0.4705443698732289,0.46980854197349037,72.22222222222221,Poor Agreement -> WORK REQUIRED,0.3930742832630595,Weak Agreement -> WORK REQUIRED,0.27926995911632096,Clinical Trial Phase
0.7688556884962401,,72.22222222222221,Moderate Agreement,0.18359448745281104,,,Condition
0.8351393188854489,0.8333333333333334,91.66666666666666,Substantial Agreement,0.20714410699691832,Strong Agreement,0.18057179414157182,Data Collection
0.7396542692509167,0.7369519832985387,80.55555555555556,Moderate Agreement,0.21255795710187786,Moderate Agreement,0.17490000891606897,Data Type
0.763558515699334,0.7613636363636365,80.55555555555556,Moderate Agreement,0.19266379172914527,Moderate Agreement,0.15866875808863073,Number of Participants
0.5627211507896341,,52.77777777777778,Poor Agreement -> WORK REQUIRED,0.22664230085249704,,,Outcomes
0.6372339170941684,,75.0,Poor Agreement -> WORK REQUIRED,0.27894638434046093,,,Regimen
0.6001609010458568,0.5980861244019139,80.55555555555556,Poor Agreement -> WORK REQUIRED,0.3238816240237069,Weak Agreement -> WORK REQUIRED,0.26723159257032547,Setting
0.9004207573632539,0.8991596638655466,97.22222222222221,Substantial Agreement,0.21168425908338528,Strong Agreement,0.19488262814916343,Sex of Participants
0.4047256097560975,0.43185078909612623,69.44444444444444,Poor Agreement -> WORK REQUIRED,0.38889547752443376,Weak Agreement -> WORK REQUIRED,0.27979560641735657,Study Conclusion
0.573649286085288,,66.66666666666666,Poor Agreement -> WORK REQUIRED,0.2623260214150578,,,Study Control
0.4892362083610736,,52.77777777777778,Poor Agreement -> WORK REQUIRED,0.25452010956483995,,,Study Purpose
0.7337845142386139,,77.77777777777779,Moderate Agreement,0.21287293659905437,,,Study Type
0.6772859424266,,83.33333333333334,Moderate Agreement,0.3429004831273945,,,Substance Naivety
0.8077280078083883,,80.55555555555556,Substantial Agreement,0.1669525195718139,,,Substances
