id,text,Efficacy endpoints,Safety endpoints,Pharmacokinetics,Mechanism of action,Disease model study,Demographic study
56,"Single-Dose Synthetic Psilocybin With Psychotherapy for Treatment-Resistant Bipolar Type II Major Depressive Episodes: A Nonrandomized Controlled Trial.^
IMPORTANCE: Bipolar II disorder (BDII) is a debilitating condition frequently associated with difficult-to-treat depressive episodes. Psilocybin has evidence for rapid-acting antidepressant effects but has not been investigated in bipolar depression. OBJECTIVE: To establish the safety and efficacy of psilocybin in patients with BDII in a current depressive episode. DESIGN, SETTING, AND PARTICIPANTS: This was a 12-week, open-label nonrandomized controlled trial conducted at Sheppard Pratt Hospital. Participants aged 18 to 65 years with BDII, a current depressive episode longer than 3 months, and documented insufficient benefit with at least 2 pharmacologic treatments during the current episode were invited to participate. Of 70 approached, 19 met inclusion criteria and were enrolled. The trial was conducted between April 14, 2021, and January 5, 2023. INTERVENTIONS: A single dose of synthetic psilocybin, 25 mg, was administered. Psychotropic medications were discontinued at least 2 weeks prior to dosing. Therapists met with patients for 3 sessions during pretreatment, during the 8-hour dosing day, and for 3 integration sessions posttreatment. MAIN OUTCOMES AND MEASURES: The primary outcome measure was change in Montgomery-Åsberg Depression Rating scale (MADRS) at 3 weeks posttreatment. Secondary measures included MADRS scores 12 weeks posttreatment, the self-rated Quick Inventory of Depression Symptoms-Self Rating (QIDS-SR), and the self-rated Quality of Life Enjoyment and Satisfaction Questionnaire-Short Form (Q-LES-Q-SF), each completed at baseline and all subsequent visits. Safety measures included the Columbia Suicide Severity Rating Scale (CSSRS) and the Young Mania Rating Scale (YMRS) completed at each visit. RESULTS: Of the 15 participants in this study (6 male and 9 female; mean [SD] age, 37.8 [11.6] years), all had lower scores at week 3, with a mean (SD) change of -24.00 (9.23) points on the MADRS, (Cohen d = 4.08; 95% CI, -29.11 to -18.89; P < .001). Repeat measures analysis of variance showed lower MADRS scores at all tested posttreatment time points, including the end point (Cohen d = 3.39; 95% CI, -33.19 to -16.95; adjusted P < .001). At week 3, 12 participants met the response criterion (50% decrease in MADRS), and 11 met remission criterion (MADRS score ≤10). At the study end point, 12 patients met both response and remission criteria. QIDS-SR scores and Q-LES-Q-SF scores demonstrated similar improvements. YMRS and CSSRS scores did not change significantly at posttreatment compared to baseline. CONCLUSIONS AND RELEVANCE: The findings in this open-label nonrandomized controlled trial suggest efficacy and safety of psilocybin with psychotherapy in BDII depression and supports further study of psychedelics in this population.",1,1,0,0,0,0
128,"Effect of intra-operative sedation with low-doses of S-Ketamine on depression in the elderly: randomized double-blind controlled trial.^
INTERVENTION: 70 elderly patients (62 men), from two Brazilian hospitals (Brasilia), classified as depressed (D) and not depressed (ND), according to the Diagnostic and Statistical Manual of Mental Disorders criteria, where divided randomly into four groups. Group D1 and ND1 used for sedation 10 mg of S‐ Ketamine, plus 1 mg of midazolam and groups D2 and ND2 only 1mg of Midazolam, in intravenous bolus, until 3‐4 grade in Ramsay Scale was reached. Primary efficacy measure was quantitatively estimated by the 21‐item Hamilton Depression Rating Scale, one day before and one day after surgery. CONDITION: Mental Depression PRIMARY OUTCOME: To access improvement of mental depression after treatment with S‐ketamine, by using the 21 items Hamilton Depression Rating Scale. SECONDARY OUTCOME: To evaluate side effects of S‐ketamine: nausea and vomits, allucinations, postoperative pain, cardiovascular effects, respiratory depression, sedation and amnesia. ; To mesure them:a intraoperative non invasive blood pressure monitoring and ECG (cardiovascular effects), SpO2 (respiratory depression), Ramsay Scale (sedation), Visual analogic scale (pain) and by questioning the patient (nausea and vomits, psychedelic effects, amnesia) INCLUSION CRITERIA: age>60, males and females;spinal or epidural anaesthesia; patients with depression criteria according to Diagnostic and Statistical Manual of Mental Disorders; patients without depression (control).",1,1,0,0,0,0
159,"Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Single-Ascending Doses of EMP-01 in Healthy Adult Volunteers.^
INTERVENTION: EMP‐01 is being developed as a potential treatment for post‐traumatic stress disorder (PTSD). This Phase I study will investigate the effects of EMP‐01 in healthy volunteers when administered orally. This is a randomised, double‐blind, placebo controlled ascending dose trial that consists of 4 cohorts, with each cohort comprised of 8 participants. The cohorts will enrol in sequential order depending on when participants join the study. They will enrol in either Cohort 1, 2, 3 or 4 to receive 75mg, 125mg, 175mg or 225mg of EMP‐01 or placebo respectively. For each cohort, sentinel dosing will occur, whereby 2 participants (1 randomized to receive EMP‐01 and 1 randomized to receive matching placebo) will be dosed and, providing no safety concerns arise, following a 24‐hour observation period and review by the SMG, the remaining 6 participants will be randomized to EMP‐01 or matching placebo at a ratio of 5:1.Participants in Cohorts 1, 3 and 4 will receive a single dose of EMP‐01 or placebo. Participants in Cohort 2 will receive two doses of EMP‐01 or placebo, one under fasting conditions and the other under fed conditions. Participants will be administered the same Investigational Product (IP) in both treatment periods. After the last participant in each cohort has dosed, all available safety data will be reviewed by the Safety Monitoring Group (SMG) to determine whether to proceed to the next cohort. SMG review will only occur for Cohort 2 after the first, fasted dose. This will be monitored through supervised dosing. On the morning of Day 1, Investigational Product (IP) will be administered with 240 mL of water to each participant following an overnight fast of at least 8 hours. Participants will be required to fast for a minimum of 4 hours following administratio CONDITION: Mental Health ‐ Other mental health disorders Post‐traumatic stress disorder (PTSD); ; Post‐traumatic stress disorder (PTSD) PRIMARY OUTCOME: To assess the safety and tolerability of EMP‐01 when administered as single‐ascending oral doses in healthy adult participants. This will be assessed by checking the frequency and severity of Adverse events (AEs) and also by safety laboratory results.; Adverse events will be assessed by symptom focused physical and clinical examination of any autonomic responses that the participant would report from screening to End of study.; Vital signs that are assessed include blood pressure (BP), Heart rate, Respiratory rate and Temperature. BP will be assessed using a sphygmomanometer and aural temperature will be recorded. Clinical laboratory tests and safety labs will use both blood and urine samples.; Heart rate will be assessed via a vital signs monitor. Safety laboratory tests will include hematology, serum chemistry and urinalysis. ; ; [For Cohorts 1, 3, and 4: Day 1 pre‐dose Day 1, Day 2 and Day 8 post‐dose. ; Cohort 2: Day 1 pre‐dose, Day 1, Day 2, Day 8, Day 9 pre‐dose, Day 9, Day 10 and Day 16 post first dose.; ; ] SECONDARY OUTCOME: To evaluate the Pharmacokinetic (PK) characteristics of EMP‐01 and its major metabolite following a single dose of 125 mg under fed and fasted conditions in healthy adult participants. ; Plasma Pharmacokinetic (PK) parameters to be assessed include Tmax, Cmax, Area under the curve or AUC (AUC0‐t, AUC0‐ 24, AUC0‐30, AUC0‐inf, AUC percentage extrap), Miu z or Kel, t½, CL/F, and Vz/F, dose‐normalized Cmax, dosenormalized AUC0‐t, dosenormalized AUC0‐30, dose‐normalized AUC0‐inf, and metabolite to parent ratio.[On Day 1, plasma samples for Pharmacokinetic (PK) will be collected predose, 0.5, 1, 1.5, 2, 2.5, 3, 4, 6, 8, 10, 12 and 18 hours post EMP‐01/placebo administration. On Day 2, plasma samples for Pharmacokinetic (PK) will be collected at 24 and 30 hours post dose. For Cohort 2 Day 9, plasma samples will also be collected predose, 0.5, 1, 1.5, 2, 2.5, 3, 4, 6, 8, 10, 12 and 18 hours post EMP‐01/placebo administration. On Day 10, plasma samples for Pharmacokinetic (PK) will be collected at 24 and 30 h urs post dose.] Urine PK will be determined by analyzing the concentration of MDMA and its major metabolite R‐MDA. Urine PK parameters (Ae, Fe, and CLR) and metabolic ratios for EMP‐01 and its metabolite will be calculated and evaluated. ; [On Day 1, a sample of urine for PK analysis will be obtained within 2 hours before IP administration and pooled urine will be collected over the intervals 0 to 4, 4 to 8, 8 to 12, and 12 to 24 hours after IP administration. On Day 2, pooled urine will be collected from 24 to 30 hours after IP administration. PK urine collection for Cohort 2 will be the same as Days 1 and 2 on Days 9 and 10 post‐first dose. ; ] INCLUSION CRITERIA: Each participant must meet all the following criteria to be enrolled in this study: 1. Male or female aged between 18 and 55 years of age, inclusive, at time of consent. 2. Female participants must have a negative serum pregnancy test result at Screening (all cohorts) and Day 8 (Cohort 2 only), and a negative urine pregnancy test at admission to the CRU on Day ‐1 (all cohorts), are not currently breast‐feeding, and meet one of the following criteria: a. Undergone 1 of the following sterilization procedures at least 6 months before the first dosing: i. hysteroscopic sterilization ii. bilateral tubal ligation or bilateral salpingectomy iii. hysterectomy iv. bilateral oophorectomy v. Essure sterilization; or b. Be postmenopausal with amenorrhea for at least 1 year before the first dosing and follicle‐stimulating hormone (FSH) serum levels consistent with postmenopausal status; c. Female participants of childbearing potential must",0,1,1,0,0,0
254,"Efficacy and safety of ketamine in bipolar depression: A systematic review.^
The depression is the most prevalent state throughout the life of the bipolar patient. Ketamine has been shown to be an effective and rapid treatment for depression. The objective of the present work is to perform a systematic review on the efficacy and safety of ketamine as treatment of bipolar depression, as well as its different patterns of administration. The search found 10 relevant manuscripts that met the inclusion criteria: one clinical trial, 5 cohort studies, and 4 case reports. Intravenous infusion was used in 60% of the studies. According to data, ketamine seems to be an effective and safe treatment for bipolar depression, although the length of its effect is short. Adverse effects observed generally occurred at the time of infusion, and tended to completely disappear within 1-2h. Therefore, more studies are necessary to explore new patterns of administration, as well as on its safety and adverse effects.",1,1,0,0,0,0
382,"Spectral Changes of EEG Following a 6-Week Low-Dose Oral Ketamine Treatment in Adults With Major Depressive Disorder and Chronic Suicidality.^
BACKGROUND: Ketamine has considerable therapeutic potential in alleviating major depressive disorder and chronic suicidality. However, the clinical diagnosis of neuropsychiatric disorders requires more robust diagnostic criteria. Electroencephalography (EEG) has shown promise in classifying depressive and suicidal patients from healthy individuals. The present study aimed to identify changes in the spectral properties of EEG in patients with major depressive disorder and chronic suicidality after completing the 6-week Oral Ketamine Trial on Suicidality with follow-up occurring 4 weeks after final ketamine treatment and determine associations between EEG spectral output and clinical symptoms. METHODS: Participants (n = 25) had 4-minute eyes closed resting state EEG recorded at frontal, temporal, centro-parietal, and occipital regions. Spectral analysis was performed with Welch's power spectrum density method, and the power of 4 distinct frequency bands was analyzed: theta, alpha, low-beta, and high-beta. Correlation analyses between changes in clinical symptoms and spectral power were conducted using Spearman's ranked correlation. RESULTS: Between pre- and posttreatment, only centro-parietal alpha power decreased. Between posttreatment and follow-up, centro-parietal alpha increased again in addition to increases in temporal alpha, centro-parietal and temporal theta, and occipital low-beta and decreases in occipital theta and temporal low-beta. Additionally, the decrease of occipital theta positively correlated with clinical subscales for depression and stress. CONCLUSIONS: EEG spectral analysis revealed significant changes in theta, alpha, and low-beta frequency bands. Alpha band showed initial changes after treatment; however, this trended back toward baseline levels after the treatment cessation. In contrast, theta and low-beta showed significant power changes only after the treatment had ended.",1,0,0,1,0,0
564,"Characterizing the course of suicidal ideation response to ketamine.^
BACKGROUND: No pharmacological treatments exist for active suicidal ideation (SI), but the glutamatergic modulator ketamine elicits rapid changes in SI. We developed data-driven subgroups of SI trajectories after ketamine administration, then evaluated clinical, demographic, and neurobiological factors that might predict SI response to ketamine. METHODS: Data were pooled from five clinical ketamine trials. Treatment-resistant inpatients (n = 128) with DSM-IV-TR-diagnosed major depressive disorder (MDD) or bipolar depression received one subanesthetic (0.5 mg/kg) ketamine infusion over 40 min. Composite SI variable scores were analyzed using growth mixture modeling to generate SI response classes, and class membership predictors were evaluated using multinomial logistic regressions. Putative predictors included demographic variables and various peripheral plasma markers. RESULTS: The best-fitting growth mixture model comprised three classes: Non-Responders (29%), Responders (44%), and Remitters (27%). For Responders and Remitters, maximal improvements were achieved by Day 1. Improvements in SI occurred independently of improvements in a composite Depressed Mood variable for Responders, and partially independently for Remitters. Indicators of chronic SI and self-injury were associated with belonging to the Non-Responder group. Higher levels of baseline plasma interleukin-5 (IL-5) were linked to Remitters rather than Responders. LIMITATIONS: Subjects were not selected for active suicidal thoughts; findings only extend to Day 3; and plasma, rather than CSF, markers were used. CONCLUSION: The results underscore the heterogeneity of SI response to ketamine and its potential independence from changes in Depressed Mood. Individuals reporting symptoms suggesting a longstanding history of chronic SI were less likely to respond or remit post-ketamine.",1,0,0,1,0,0
633,"Ketamine-Associated Intraoperative Electroencephalographic Signatures of Elderly Patients With and Without Preoperative Cognitive Impairment.^
BACKGROUND: Ketamine is typically used by anesthesiologists as an adjunct for general anesthesia and as a nonopioid analgesic. It has been explored for prevention of postoperative delirium, although results have been contradictory. In this study, we investigated the association of ketamine with postoperative delirium and specific encephalographic signatures. Furthermore, we examined these associations in the context of baseline neurocognition as measured by a validated assessment. METHODS: We conducted a prospective observational study from January 2019 to December 2020. Ninety-eight patients aged ≥65 years and undergoing spine surgery scheduled for ≥3 hours were included in the study. All participants who completed the University of California San Francisco (UCSF) Brain Health Assessment preoperatively and postoperatively were assessed with the confusion assessment method for intensive care unit (CAM-ICU) and/or the Nursing Delirium Screening Scale (NuDESC). Patients had frontal electroencephalogram (EEG) recordings (SedLine Root, Masimo, Corp) quantitatively analyzed. We used 60 seconds of artifact-free EEG (without burst suppression) extracted from the middle of the maintenance period to calculate the normalized power spectral density (PSD). Comparisons were made between those who did or did not receive ketamine and according to results from neurocognitive assessments. RESULTS: Ninety-eight patients (of a total of 155, enrolled and consented) had EEG of sufficient quality for analysis (42 women). Overall, we found a significant increase in the EEG power in the moderate frequency range (10-20 Hz) in patients that received ketamine. When the patients were divided by their preoperative cognitive status, this result in the ketamine group only held true for the cognitively normal patients. Patients that were cognitively impaired at baseline did not demonstrate a significant change in EEG characteristics based on ketamine administration, but impaired patients that received ketamine had a significantly higher rate of postoperative delirium (52% ketamine versus 20% no ketamine) (odds ratio [OR], 4.36; confidence interval [CI], 1.02-18.22; P = .048). In patients determined to be preoperatively cognitively normal, the incidence of postoperative delirium was not significantly associated with ketamine administration (19% ketamine versus 17% no ketamine) (OR, 1.10; CI, 0.30-4.04; P = .5833). CONCLUSIONS: Ketamine-related changes in EEG are observed in a heterogeneous group of patients receiving spine surgery. This result was driven primarily by the effect of ketamine on cognitively normal patients and not observed in patients that were cognitively impaired at baseline. Furthermore, patients who were cognitively impaired at baseline and who had received ketamine were more likely to develop postoperative delirium, suggesting that cognitive vulnerability might be predicted by the lack of a neurophysiologic response to ketamine.",1,0,0,1,0,0
695,"Association of Ketamine With Psychiatric Symptoms and Implications for Its Therapeutic Use and for Understanding Schizophrenia: A Systematic Review and Meta-analysis.^
IMPORTANCE: Ketamine hydrochloride is increasingly used to treat depression and other psychiatric disorders but can induce schizophrenia-like or psychotomimetic symptoms. Despite this risk, the consistency and magnitude of symptoms induced by ketamine or what factors are associated with these symptoms remain unknown. OBJECTIVE: To conduct a meta-analysis of the psychopathological outcomes associated with ketamine in healthy volunteers and patients with schizophrenia and the experimental factors associated with these outcomes. DATA SOURCES: MEDLINE, Embase, and PsychINFO databases were searched for within-participant, placebo-controlled studies reporting symptoms using the Brief Psychiatric Rating Scale (BPRS) or the Positive and Negative Syndrome Scale (PANSS) in response to an acute ketamine challenge in healthy participants or patients with schizophrenia. STUDY SELECTION: Of 8464 citations retrieved, 36 studies involving healthy participants were included. Inclusion criteria were studies (1) including healthy participants; (2) reporting symptoms occurring in response to acute administration of subanesthetic doses of ketamine (racemic ketamine, s-ketamine, r-ketamine) intravenously; (3) containing a placebo condition with a within-subject, crossover design; (4) measuring total positive or negative symptoms using BPRS or PANSS; and (5) providing data allowing the estimation of the mean difference and deviation between the ketamine and placebo condition. DATA EXTRACTION AND SYNTHESIS: Two independent investigators extracted study-level data for a random-effects meta-analysis. Total, positive, and negative BPRS and PANSS scores were extracted. Subgroup analyses were conducted examining the effects of blinding status, ketamine preparation, infusion method, and time between ketamine and placebo conditions. The Meta-analysis of Observational Studies in Epidemiology (MOOSE) and Preferred Reporting Items for Systematic Reviews and Meta-analyses (PRISMA) guidelines were followed. MAIN OUTCOMES AND MEASURES: Standardized mean differences (SMDs) were used as effect sizes for individual studies. Standardized mean differences between ketamine and placebo conditions were calculated for total, positive, and negative BPRS and PANSS scores. RESULTS: The overall sample included 725 healthy volunteers (mean [SD] age, 28.3 [3.6] years; 533 [73.6%] male) exposed to the ketamine and placebo conditions. Racemic ketamine or S-ketamine was associated with a statistically significant increase in transient psychopathology in healthy participants for total (SMD = 1.50 [95% CI, 1.23-1.77]; P < .001), positive (SMD = 1.55 [95% CI, 1.29-1.81]; P < .001), and negative (SMD = 1.16 [95% CI, 0.96-1.35]; P < .001) symptom ratings relative to the placebo condition. The effect size for this association was significantly greater for positive than negative symptoms of psychosis (estimate, 0.36 [95% CI, 0.12-0.61]; P = .004). There was significant inconsistency in outcomes between studies (I2 range, 77%-83%). Bolus followed by constant infusion increased ketamine's association with positive symptoms relative to infusion alone (effect size, 1.63 [95% CI, 1.36-1.90] vs 0.84 [95% CI, 0.35-1.33]; P = .006). Single-day study design increased ketamine's ability to generate total symptoms (effect size, 2.29 [95% CI, 1.69-2.89] vs 1.39 [95% CI, 1.12-1.66]; P = .007), but age and sex did not moderate outcomes. Insufficient studies were available for meta-analysis of studies in schizophrenia. Of these studies, 2 found a statistically significant increase in symptoms with ketamine administration in total and positive symptoms. Only 1 study found an increase in negative symptom severity with ketamine. CONCLUSIONS AND RELEVANCE: This study found that acute ketamine administration was associated with schizophrenia-like or psychotomimetic symptoms with large effect sizes, but there was a greater increase in positive than negative symptoms and when a bolus was used. These findings suggest that bolus doses should be avoided in the therapeutic use of ketamine to minimize the risk of inducing transient positive (psychotic) symptoms.",0,1,0,0,1,0
748,"Assessing the risk-benefit profile of classical psychedelics: a clinical review of second-wave psychedelic research.^
RATIONALE: A broad reassessment of the potential benefits of psychedelic drugs has led to the initiation of multiple major clinical trials in an effort to advance their status to become FDA-approved medications, as well as local legislative efforts to legalize or decriminalize their use. OBJECTIVES: To use recently published data to assess potential risks and benefits of psychedelic drugs as therapeutics, as well as to synthesize what is currently known in order to generate fruitful future research directions. METHODS: A review of studies conducted since 1991 identified 14 clinical trials of classical psychedelics, including 11 of psilocybin (N = 257 participants), 1 of lysergic acid diethylamide (N = 12 participants), and 2 of ayahuasca (N = 46 participants). Other published studies (e.g., of healthy volunteers, survey studies, case reports, neuroimaging) were also considered for review. RESULTS: Published studies since 1991 largely support the hypothesis that small numbers of treatments with psychedelic-assisted psychotherapy can offer significant and sustained alleviation to symptoms of multiple psychiatric conditions. No serious adverse events attributed to psychedelic therapy have been reported. Existing studies have several limitations, including small sample sizes, inherent difficulty in blinding, relatively limited follow-up, and highly screened treatment populations. CONCLUSIONS: Substantial data have been gathered in the past 30 years suggesting that psychedelics are a potent treatment for a variety of common psychiatric conditions, though the ideal means of employing these substances to minimize adverse events and maximize therapeutic effects remains controversial. Unique factors related to study design are vital for clinical researchers in the field to address.",1,1,0,0,0,0
790,"Behavioral Mechanisms Underlying the Therapeutic Effects of MDMA: evidence From Laboratory Studies in Healthy Human Volunteers.^
Background: MDMA, in combination with psychotherapy, has shown promise in the treatment of multiple psychiatric disorders. However, it is not known how MDMA interacts with components of the therapeutic process to produce its beneficial effects. We tested the effects of MDMA on four measures of social experience to elucidate the behavioral components that underlie the efficacy of MDMA in combination with psychotherapy. Methods: Healthy volunteers participated in two double‐blind placebo‐controlled studies using a within‐subjects crossover design. In Study 1 (N=36), they received MDMA (0.75mg/kg and 1.5mg/kg), methamphetamine (20mg), and placebo. In Study 2 (N=18 of 36), they received MDMA (125mg), methamphetamine (20mg), and placebo. During peak drug effect, they completed standardized tasks assessing social behavior. These tasks included a social attention bias task, an emotional response to social feedback task, an affective touch task, and a verbal task assessing synchrony of vocal pitch during a social interaction. Results: MDMA (1.5mg/kg) increased attention to faces expressing positive emotions compared to neutral faces (p<0.05). During the social feedback task, MDMA dose‐dependently increased feelings of social acceptance following all types of social feedback (p<0.05), and similarly increased pleasantness ratings of affective touch (p<0.05). Methamphetamine did not produce these effects. Conclusions: These findings build on previous reports that MDMA reduces responses to negative social stimuli by showing that the drug also enhances responses to positive social stimuli. The facilitatory effects of MDMA on social acceptance, affective touch, and attention to positive emotions may improve the patient‐therapist connection. Further studies are needed to extend these findings to clinical populations. Funding Source: NIDA RO1 Keywords: MDMA, Social Behavior, Affective Neuroscience, Human Behavioral Pharmacology",1,0,0,0,0,0
