"id","labels","text"
"6129","1","HIV+ Substance Users Released From Jail.^\nAim 1 Introduction: This first aim will be critical to successful implementation of the CHW‐DOORS intervention. Employing a formerly incarcerated CHW to assist individuals leaving prison in order to connect to healthcare has been successfully implemented in different settings, but it has not been applied specifically to HIV patients or those leaving jail (v. prison), nor has it been integrated into a community based organization. The objective of this aim is to adapt the evidence‐based CHW intervention to the HIV population and to the jail setting and to integrate the CHW into existing processes at DOORS and the outpatient HIV clinic system. Research Design. Aim 1.1: The first step of Aim 1 will be to train the CHW using the transitions clinic approach, add modules on HIV and substance use and familiarize the CHW with DOORS processes and HIV clinic workflow. Aim 1.2: The second step will be to complete qualitative interviews with stakeholders in three different settings‐ the jail, the HIV clinic and DOORS. All interviews will be semi‐structured, one‐on‐one interviews, with an estimated 4‐7 interviews in each setting. The structured component of the interview guide will prompt interviewee input on study design (e.g. recruitment, intervention, follow‐up visits), content of the intervention (e.g. high demand services) and an open‐ended component eliciting possible barriers to study implementation. Aim 1.3: The final step in Aim 1 will be to complete pilot testing with 5 subjects, which will focus on refining recruitment/enrollment protocols, streamlining study assessments and evaluating the intervention. Recruitment: In order to protect patient confidentiality, potential subjects will be referred by medical staff who provide clinical care to HIV+ inmates. When an inmate enters the Dallas County Jail, he/she is evaluated by a medical provider within 24 hours (medical assessment program, MAP). At this visit, the inmate can disclose any medical conditions that they have including HIV, in which case he/she will be referred to the jail HIV clinic (scheduled within 1‐7 days of jail entry). In addition, HIV testing is offered in an opt‐out manner when inmates have blood drawn for any reason (approximately 10% of jail population) and by inmate request, and those with positive test results are referred to jail HIV clinic. Candidates coming through the MAP or HIV clinics who agree to be approached will be contacted by a research assistant (RA). The RA will explain the study to interested individuals, will obtain additional contact information (additional phone numbers, address or location in community where patient could be found) and permission to contact the individual after release. Clinic staff will also routinely request this information from interested individuals in case they are released prior to RA visit in jail. Once released, the research team will contact the individual releasee to schedule an enrollment visit. At this visit, which will occur as soon as possible after jail release (maximum within 30 days of release), the research team will obtain informed consent and enroll the participant into the study. The enrollment may occur at the UT Southwestern HIV research unit (located above the main HIV clinic) or in the community as per participant preference. AIM 2: Conduct a pilot randomized controlled trial comparing the collaborative intervention (n=40) compared to treatment as usual (n=40) in HIV+ substance users released from jail. Enrollment: In order to be enrolled, individuals must (a) be ≥18 years old, (b) have a confirmed diagnosis of HIV, (c) have evidence of uncontrolled HIV (viral load >200 copies/mL within 90 days of enrollment, self‐reported non‐adherence to HIV medications or no community clinic visit in the 6 months preceding incarceration), (d) report or have medical records documenting any opioid (illicit or prescription misuse), stimulant (cocaine, ecstasy, or amphetamines), or heavy alcohol use (as determined by the 3‐item Alcohol Use Disorders Identification Test (AUD T‐C) within the past 12 months, and (e) provide at least 2 forms of contact information. They will also be asked to provide a release of information for their medical records at the jail and community clinics/ hospitals. No randomization will occur in Aim 1 as all 5 participants in the pilot testing phase will be assigned to the intervention. Baseline assessments will occur after informed consent is obtained and enrollment is complete. These assessments will focus on variables in the conceptual model, with collection of demographics (age, race/ethnicity, gender, HIV risk factor) and social variables (marital status, housing, education, employment/income, insurance, benefits, social support). Subjects will also be asked about HIV care (engagement in care, antiretroviral therapy, adherence to medications (using visual analog scale), barriers to care), mental illness, and substance use (using ASSIST questionnaire). Intervention: The first meeting with the CHW will occur at the time of enrollment if possible, depending on availability of the participant and CHW, otherwise it may occur anytime within 14 days of enrollment. After release from jail, the CHW will help the participant navigate to DOORS, where they will meet with a ""broker"", someone who helps the client/participant arrange and negotiate referrals to services within the extensive partner/provider network. The first broker meeting will typically occur within 2‐4 weeks after release, as this is a critical window for re‐engagement in care, underscored by the fact that this is also a high‐risk period for increased unprotected sex and return to substance use. Per DOORS' standard practice, the broker will complete a comprehensive needs assessment with the participant. Based on these assessments, together with the participant, the broker will develop a personalized re‐entry plan with a detailed list of referrals and calendar of scheduled visits with relevant agencies within the DOORS network. Study Assessments. All participants will complete baseline assessments prior to randomization and will have follow‐up visits at 3, 6 and 12 months as noted in Aim 1.3. A blood draw will be performed for 6‐month HIV viral load. Follow‐up visits will assess HIV viral load (abstracted from medical record for all visits other than 6 month), substance use (using ASSIST), healthcare utilization including attendance of HIV clinic visits, emergency room visits, hospitalizations and reincarceration. If individuals are reincarcerated at the Dallas County Jail at the time of the follow‐up visits, an attempt will be made to complete study visits at the jail. Follow‐up visits and assessments: Research visits will be scheduled at 3 months, 6 months and 12 months. A 4‐week window before and 8‐week window after the target follow‐up dates will be permitted for study assessments. Assessments will be completed at each follow‐up visit, including substance use, adherence, healthcare utilization and recidivism, with blood draw for HIV viral load collected at the 6‐month visit. In order to maximize efficient utilization of resources, for baseline and other follow‐up visits, HIV viral load will be abstracted from medical records. In order to have sufficient time to enroll and complete 12 month study visits for the 80 participants in Aim 2, the 5 pilot participants from Aim 1.3 need to reach at least the 3 month time point but not 6 or 12‐month visits before beginning study enrollment for Aim 2. Pilot participants will complete through 12‐month visits as this will provide insight as to how best to conduct these later follow‐up visits. All participants will receive financial reimbursement for study visits ($25 for each visit), unless they are incarcerated at the time of the visit. Jail inmates are not permitted to receive any financial incentives during incarceration. Introduction. In this aim, we will test the CHW‐DOORS intervention that was refined in Aim 1 in a randomized fashion. The goal of this aim is to establish feasibility of a randomized controlled trial in th s setting, to determine preliminary efficacy of the intervention and to inform sample size calculations for a fully powered trial. In addition, this aim will provide data regarding key factors involved in HIV+ substance users accessing substance use treatment and HIV care after jail release. Our working hypothesis is that from the stakeholder input and pilot testing completed in Aim 1, we will be able to successfully conduct a pilot randomized controlled trial and gain valuable insight into key predisposing and enabling factors influencing healthcare needs and utilization in this population, and how these may impact HIV viral load, substance use and recidivism. Research Design. Potential participants will be referred to the research study by Dallas County jail medical providers as described in Aim 1.3. Candidates who agree to be approached will be contacted by a RA who will recruit, and review eligibility criteria (see Aim 1.3). After release, potential participants will be contacted in order to complete informed consent, study enrollment and randomization (to be completed within 30 days of release from jail). All participants will provide 2 specific forms of locator information (telephone number for themselves, friend/family member, address, email, specific location where they may be located to aid in retention efforts). Participants will complete baseline assessments and will then be randomized to the intervention CHW‐DOORS versus treatment as usual (TAU). Randomization will occur by random assignment using a computer program, without block randomization given the small sample size. TAU participants will receive standard of care, which involves passive referral by jail medical staff to the outpatient HIV clinic. Intervention. Participants randomized to the intervention arm will meet with the CHW and a staff member from DOORS as outlined in Aim 1.3. Any modifications to this protocol after pilot testing in Aim 1.3 will be implemented in Aim 2. The general premise will be the same, where the DOORS broker will complete a needs assessment, generate an individualized re‐entry plan and make referrals to providers in the extensive DOORS network. The CHW will assist the participant in navigating these referrals, specifically with regards to HIV care, substance use treatment and mental healthcare. The measurement of the intervention will be as noted in Aim 1.3, with the DOORS broker following routine agency processes for referrals and measurement using the PIECES technology program and the CHW will record specifics (where, when, duration) of each visit and what was addressed during these intervention visits."
"7750","1","The NMDA antagonist ketamine and the 5-HT agonist psilocybin produce dissociable effects on structural encoding of emotional face expressions.^\nRATIONALE: Both glutamate and serotonin (5-HT) play a key role in the pathophysiology of emotional biases. Recent studies indicate that the glutamate N-methyl-D-aspartate (NMDA) receptor antagonist ketamine and the 5-HT receptor agonist psilocybin are implicated in emotion processing. However, as yet, no study has systematically compared their contribution to emotional biases. OBJECTIVES: This study used event-related potentials (ERPs) and signal detection theory to compare the effects of the NMDA (via S-ketamine) and 5-HT (via psilocybin) receptor system on non-conscious or conscious emotional face processing biases. METHODS: S-ketamine or psilocybin was administrated to two groups of healthy subjects in a double-blind within-subject placebo-controlled design. We behaviorally assessed objective thresholds for non-conscious discrimination in all drug conditions. Electrophysiological responses to fearful, happy, and neutral faces were subsequently recorded with the face-specific P100 and N170 ERP. RESULTS: Both S-ketamine and psilocybin impaired the encoding of fearful faces as expressed by a reduced N170 over parieto-occipital brain regions. In contrast, while S-ketamine also impaired the encoding of happy facial expressions, psilocybin had no effect on the N170 in response to happy faces. CONCLUSION: This study demonstrates that the NMDA and 5-HT receptor systems differentially contribute to the structural encoding of emotional face expressions as expressed by the N170. These findings suggest that the assessment of early visual evoked responses might allow detecting pharmacologically induced changes in emotional processing biases and thus provides a framework to study the pathophysiology of dysfunctional emotional biases."
"6251","0","Night-time Dexmedetomidine-esketamine Infusion and Sleep Quality With Mechanical Ventilation.^\nSleep disturbances are common in patients with mechanical ventilation during intensive care unit (ICU) stay. Persistent sleep disturbances are associated with negative outcomes, including increased sensitivity to pain, increased risk of delirium and cardiovascular events, and delayed weaning from mechanical ventilation. Dexmedetomidine and ketamine are both suggested for sedation and analgesia in ICU patients. Previous studies showed that night‐time dexmedetomidine infusion may improve sleep quality in ICU patients with mechanical ventilation, the effect is dose‐dependent. However, sedative dose dexmedetomidine increases adverse events inculding bradycardia and hypotension. Recent studies suggest that ketamine/esketamine may also improve sleep quality. But even low‐dose ketamine/esketamine increases adverse events including psychiatric and dissociative symptoms. We suppose that combined use of low‐dose dexmedetomidine and esketamine may produce synergic effects in improving sleep quality in ICU patients with less adverse events. The purpose of this trial is to observe whether night‐time infusion of low‐dose dexmedetomidine‐esketamine combination can improve sleep structure of patients with mechanical ventilation in ICU patients with mechanical ventilation and the safety of this regimen."
"3922","0","Comparative bioavailability of diclofenac epolamine tablets vs. Flector® granules for oral solution in healthy volunteers, pilot study in fed conditions.^\nINTERVENTION: Test product (T): Diclofenac epolamine (DHEP) 50 mg soluble tablets containing 65 mg of diclofenac epolamine corresponding to 50 mg of diclofenac sodium Reference therapy (R): Flector® granules for oral solution, 50 mg sachets containing 65 mg of diclofenac epolamine corresponding to 50 mg of diclofenac sodium A single dose of T and R was administered to healthy male volunteers under fed conditions according to a randomised two‐way cross‐over design, with a wash‐out interval of at least 5 days between consecutive administrations. The subjects were assigned to one sequence of treatments (TR or RT) according to the randomisation list and the cross‐over design. The subjects were randomised to receive one of the two treatments (i.e. either T or R) during period 1 and the other treatment during period 2. The concentration of diclofenamic free acid in plasma was measured at the following time‐points: pre‐dose (0) and 3, 9, 15, 21, 30, 45 min, 1, 1.25, 1.5, 2, 3, 4, 6 and 8 h post‐dose. CONDITION: Diclofenac epolamine (DHEP) 50 mg soluble tablets containing 65 mg of diclofenac epolamine corresponding to 50 mg of diclofenac sodium ; Not Applicable PRIMARY OUTCOME: Rate (Cmax) and extent (AUC0‐t) of absorption of diclofenamic acid: the concentration of diclofenamic free acid in plasma was measured at the following time‐points: pre‐dose (0) and 3, 9, 15, 21, 30, 45 min, 1, 1.25, 1.5, 2, 3, 4, 6 and 8 h post‐dose SECONDARY OUTCOME: 1. Pharmacokinetic (PK) profile of diclofenamic acid: the concentration of diclofenamic free acid in plasma was measured at the following time‐points: pre‐dose (0) and 3, 9, 15, 21, 30, 45 min, 1, 1.25, 1.5, 2, 3, 4, 6 and 8 h post‐dose; 2. Safety and tolerability of diclofenamic acid:; 2.1. Record of adverse events: AEs assessed throughout the study; 2.2. Vital signs: subjects' blood pressure (BP) and heart rate (HR) measured by the investigator or his/her deputy after 5 min at rest in sitting position at: screening visit, day 1 of each period: pre‐dose (0) and 8 h post‐dose, ETV. The check on day 1, 8 h post‐dose of period 2, also corresponded to the final assessment; 2.3. Electrocardiograms: a 12‐lead resting ECG performed and interpreted by the investigator at the screening and final visit; 2.4. Physical examination, performed at screening and at final visit. Body weight (BW) recorded at screening and at final visit. Subjects weighed (kg) lightly clothed without shoes; 2.5. Height and Body Mass Index (BMI) recorded at screening visit. BMI calculated as weight [kg] / (height [m] squared); 2.6. Laboratory analysis: routine haematology, blood chemistry and urinalysis laboratory tests performed under fasting conditions at screening; 2.7. A urine drug test performed using a urine multi‐drug kit at screening. The following drugs assessed: cocaine, amphetamine, methamphetamine, cannabinoids (delta‐9‐tetrahydrocannabinol ‐ THC), opiates and ecstasy. The same analyses, with the exception of drug screening and virology, performed at the final visit INCLUSION CRITERIA: 1. Informed consent: signed written informed consent before inclusion in the study 2. Sex and age: males, 18‐55 year old inclusive 3. Body Mass Index (BMI): 18.5‐30 kg/m2 inclusive 4. Vital signs: systolic blood pressure 100‐139 mmHg, diastolic blood pressure 50‐89 mmHg, heart rate 50‐90 bpm, measured after 5 min at rest in the sitting position 5. Full comprehension: ability to comprehend the full nature and purpose of the study, including possible risks and side effects; ability to co‐operate with the investigator and to comply with the requirements of the entire study"
"5898","1","Therapeutic Alliance and Rapport Modulate Responses to Psilocybin Assisted Therapy for Depression.^\nBackground: Across psychotherapeutic frameworks, the strength of the therapeutic alliance has been found to correlate with treatment outcomes; however, its role has never been formally assessed in a trial of psychedelic-assisted therapy. We aimed to investigate the relationships between therapeutic alliance and rapport, the quality of the acute psychedelic experience and treatment outcomes. Methods: This 2-arm double-blind randomized controlled trial compared escitalopram with psychedelic-assisted therapy for moderate-severe depressive disorder (N = 59). This analysis focused on the psilocybin condition (n = 30), who received two oral doses of 25 mg psilocybin, 3-weeks apart, with psychological preparation, in-session support, and integration therapy. A new psychedelic therapy model, called ""Accept-Connect-Embody"" (ACE), was developed in this trial. The primary outcome was depression severity 6 weeks post treatment (Quick Inventory of Depressive Symptomatology, QIDS-SR-16). Path analyses tested the hypothesis that therapeutic alliance (Scale To Assess the Therapeutic Relationship Patient Version, STAR-P) would predict depression outcomes via its influence on the acute psychedelic experience, specifically emotional-breakthrough (EBI) and mystical-type experiences (MEQ). The same analysis was performed on the escitalopram arm to test specificity. Results: The strength of therapeutic alliance predicted pre-session rapport, greater emotional-breakthrough and mystical-type experience (maximum EBI and MEQ scores across the two psilocybin sessions) and final QIDS scores (β = -0.22, R (2) = 0.42 for EBI(Max); β = -0.19, R (2) = 0.32 for MEQ(Max)). Exploratory path models revealed that final depression outcomes were more strongly affected by emotional breakthrough during the first, and mystical experience during the second session. Emotional breakthrough, but not mystical experience, during the first session had a positive effect on therapeutic alliance ahead of the second session (β = 0.79, p < 0.0001). Therapeutic alliance ahead of the second session had a direct impact on final depression scores, not mediated by the acute experience, with a weaker alliance ahead of the second psilocybin session predicting higher absolute depression scores at endpoint (β = -0.49, p < 0.001) Discussion: Future research could consider therapist training and characteristics; specific participant factors, e.g., attachment style or interpersonal trauma, which may underlie the quality of the therapeutic relationship, the psychedelic experience and clinical outcomes; and consider how therapeutic approaches might adapt in cases of weaker therapeutic alliance. Clinical Trial Registration: This trial is registered at http://clinicaltrials.gov, identifier (NCT03429075)."
"7751","1","Acute Effects of Methylphenidate, Modafinil, and MDMA on Negative Emotion Processing.^\nBACKGROUND: Stimulants such as methylphenidate and modafinil are frequently used as cognitive enhancers in healthy people, whereas 3,4-methylenedioxymethamphetamine (ecstasy) is proposed to enhance mood and empathy in healthy subjects. However, comparative data on the effects of methylphenidate and modafinil on negative emotions in healthy subjects have been partially missing. The aim of this study was to compare the acute effects of methylphenidate and modafinil on the neural correlates of fearful face processing using 3,4-methylenedioxymethamphetamine as a positive control. METHODS: Using a double-blind, within-subject, placebo-controlled, cross-over design, 60 mg methylphenidate, 600 mg modafinil, and 125 mg 3,4-methylenedioxymethamphetamine were administrated to 22 healthy subjects while performing an event-related fMRI task to assess brain activation in response to fearful faces. Negative mood states were assessed with the State-Trait Anxiety Inventory and subjective ratings. RESULTS: Relative to placebo, modafinil, but not methylphenidate or 3,4-methylenedioxymethamphetamine, increased brain activation within a limbic-cortical-striatal-pallidal-thalamic circuit during fearful face processing. Modafinil but not methylphenidate also increased amygdala responses to fearful faces compared with 3,4-methylenedioxymethamphetamine. Furthermore, activation in the middle and inferior frontal gyrus in response to fearful faces correlated positively with subjective feelings of fearfulness and depressiveness after modafinil administration. CONCLUSIONS: Despite the cognitive enhancement effects of 600 mg modafinil in healthy people, potential adverse effects on emotion processing should be considered."
"4291","1","From egoism to ecoism: Psychedelics increase nature relatedness in a state-mediated and context- dependent manner.^\n(1) Background: There appears to be a growing disconnection between humans and their natural environments which has been linked to poor mental health and ecological destruction. Previous research suggests that individual levels of nature relatedness can be increased through the use of classical psychedelic compounds, although a causal link between psychedelic use and nature relatedness has not yet been established. (2) Methods: Using correlations and generalized linear mixed regression modelling, we investigated the association between psychedelic use and nature relatedness in a prospective online study. Individuals planning to use a psychedelic received questionnaires 2 weeks before (N = 654), plus one day, 2 weeks, 4 weeks, and 2 years after a psychedelic experience. (3) Results: The frequency of lifetime psychedelic use was positively correlated with nature relatedness at baseline. Nature relatedness was significantly increased 2 weeks, 4 weeks and 2 years after the psychedelic experience. This increase was positively correlated with concomitant increases in psychological well-being and was dependent on the extent of ego-dissolution and the perceived influence of natural surroundings during the acute psychedelic state. (4) Conclusions: The here presented evidence for a context- and state-dependent causal effect of psychedelic use on nature relatedness bears relevance for psychedelic treatment models in mental health and, in the face of the current ecological crisis, planetary health."
"483","0","Chronic stress pathology and ketamine-induced alterations in functional connectivity in major depressive disorder: An abridged review of the clinical evidence.^\nA paradigm shift in the conceptualization of the neurobiology of depression and the serendipitous discovery of ketamine's rapid-acting antidepressant (RAAD) effects has ushered in a new era of innovative research and novel drug development. Since the initial discovery of ketamine's RAAD effects, multiple studies have supported its short-term efficacy for fast-tracked improvements in treatment-resistant depression. Evidence from MRI studies have repeatedly demonstrated functional connectivity alterations in stress- and trauma-related disorders suggesting this may be a viable biomarker of chronic stress pathology (CSP). Human mechanistic studies further support this by coupling functional connectivity to ketamine's RAAD effects including connectivity to glutamate neurotransmission, ketamine to normalized connectivity, and these advantageous normalizations to symptom improvement/ketamine response. This review provides an abridged discussion of the suspected neurobiological underpinnings of ketamine's RAAD effects, highlighting ketamine-induced alterations in prefrontal, striatal, and anterior cingulate cortex functional connectivity in major depressive disorder. We present a model of CSP underscoring the role of synaptic loss and dysconnectivity and discuss how ketamine may be used both as (1) a treatment to restore and normalize these stress-induced neural alterations and (2) a tool to study potential biomarkers of CSP and treatment response. We conclude by noting challenges and future directions including heterogeneity, sex differences, the role of early life stress, and the need for proliferation of new methods, paradigms, and tools that will optimize signal and allow analyses at different levels of complexity, according to the needs of the question at hand, perhaps by thinking hierarchically about both clinical and biological phenotypes."
"6033","0","Ketamine Anesthesia in Electroconvulsive Therapy.^\nThere are several drugs available to induce anesthesia for electroconvulsive therapy (ECT), a psychiatric treatment for major depressive illness. The most commonly utilized of these include methohexital, thiopental, etomidate, and propofol. Recently, there has been interest in the use of ketamine in sub‐anesthetic doses to treat major depressive illness. In this randomized, blinded trial, depressed subjects scheduled to be treated with ECT were anesthetized with either ketamine or methohexital at doses of approximately 1.0 mg/kg for each drug. Patients received the same drug for up to six of their ECT treatments. Outcome measures included assessments of depressive severity, cognition, post‐anesthesia side effects, and hemodynamics. Subjects were to be followed with as long as they were receiving inpatient ECT treatments. The number of treatments was determined entirely by their primary psychiatric team, also blind to anesthetic, as per usual care. In other words, this study did not determine when to terminate the ECT course."
"6069","0","The Role of 5-HT2A Receptor in the Perception of Self and Personal Meaning in Healthy Volunteers.^\nAim of the present study is to investigate the neuronal correlates of self and of personal meaning as well as the role of the serotonin (5‐HT) 2A receptor system in these processes using functional magnetic resonance imaging (fMRI) and psychometric and cognitive measures."
