"id","text","labels"
"2232","Baseline delta sleep ratio predicts acute ketamine mood response in major depressive disorder.^\nBACKGROUND: Electroencephalographic (EEG) sleep slow wave activity (SWA; EEG power between 0.6 and 4Hz) has been proposed as a marker of central synaptic plasticity. Decreased generation of sleep slow waves--a core feature of sleep in depression--indicates underlying plasticity changes in the disease. Various measures of SWA have previously been used to predict antidepressant treatment response. This study examined the relationship between baseline patterns of SWA in the first two NREM episodes and antidepressant response to an acute infusion of the N-methyl-d-aspartate (NMDA) antagonist ketamine. METHODS: Thirty patients (20M, 10F, 18-65) fulfilling DSM-IV criteria for treatment-resistant major depressive disorder (MDD) who had been drug-free for two weeks received a single open-label infusion of ketamine hydrochloride (.5mg/kg) over 40 min. Depressive symptoms were assessed with the Montgomery-Asberg Depression Rating Scale (MADRS) before and after ketamine infusion. Sleep recordings were obtained the night before the infusion and were visually scored. SWA was computed for individual artifact-free NREM sleep epochs, and averaged for each NREM episode. Delta sleep ratio (DSR) was calculated as SWA(NREM1)/SWA(NREM2). RESULTS: A significant positive correlation was observed between baseline DSR and reduced MADRS scores from baseline to Day 1 (r=.414, p=.02). LIMITATIONS: The sample size was relatively small (N=30) and all subjects had treatment-resistant MDD, which may limit the generalizability of the findings. Further studies are needed to replicate and extend this observation to other patient groups. CONCLUSIONS: DSR may be a useful baseline predictor of ketamine response in individuals with treatment-resistant MDD.","3"
"4579","Subanesthetic effects of the noncompetitive NMDA antagonist, ketamine, in humans. Psychotomimetic, perceptual, cognitive, and neuroendocrine responses.^\nBACKGROUND: To characterize further behavioral, cognitive, neuroendocrine, and physiological effects of subanesthetic doses of ketamine hydrochloride in healthy human subjects. Ketamine, a phencyclidine hydrochloride derivative, is a dissociative anesthetic and a noncompetitive antagonist of the N-methyl-D-aspartate subtype of excitatory amino acid receptor. METHODS: Nineteen healthy subjects recruited by advertisements from the community participated in this randomized, double-blind, placebo-controlled study. Subjects completed three test days involving the 40-minute intravenous administration of placebo, ketamine hydrochloride (0.1 mg/kg), or ketamine hydrochloride (0.5 mg/kg). Behaviors associated with the positive and negative symptoms of schizophrenia were assessed by using the Brief Psychiatric Rating Scale. Changes in perception and behaviors associated with dissociative states were assessed by the Perceptual Aberration Subscale of the Wisconsin Psychosis Proneness Scale and the Clinician-Administered Dissociative States Scale. Cognitive function was assessed by using the (1) Mini-Mental State Examination; (2) tests sensitive to frontal cortical dysfunction, including a continuous performance vigilance task, a verbal fluency task, and the Wisconsin Card Sorting Test; and (3) tests of immediate and delayed recall. Plasma levels of cortisol, prolactin, homovanillic acid, and 3-methoxy-4-hydroxyphenethyleneglycol were measured. RESULTS: Ketamine (1) produced behaviors similar to the positive and negative symptoms of schizophrenia; (2) elicited alterations in perception; (3) impaired performance on tests of vigilance, verbal fluency, and the Wisconsin Card Sorting Test; (4) evoked symptoms similar to dissociative states; and (5) preferentially disrupted delayed word recall, sparing immediate recall and postdistraction recall. Ketamine had no significant effect on the Mini-Mental State Examination at the doses studied. Ketamine also had no effect on plasma 3-methoxy-4-hydroxyphenethyleneglycol levels, although it blunted a test day decline in plasma homovanillic acid levels at the higher dose. It also dose dependently increased plasma cortisol and prolactin levels. Ketamine produced small dose-dependent increases in blood pressure. CONCLUSIONS: These data indicate that N-methyl-D-aspartate antagonists produce a broad range of symptoms, behaviors, and cognitive deficits that resemble aspects of endogenous psychoses, particularly schizophrenia and dissociative states.","3"
"8970","Altered Insula Connectivity under MDMA.^\nRecent work with noninvasive human brain imaging has started to investigate the effects of 3,4-methylenedioxymethamphetamine (MDMA) on large-scale patterns of brain activity. MDMA, a potent monoamine-releaser with particularly pronounced serotonin- releasing properties, has unique subjective effects that include: marked positive mood, pleasant/unusual bodily sensations and pro-social, empathic feelings. However, the neurobiological basis for these effects is not properly understood, and the present analysis sought to address this knowledge gap. To do this, we administered MDMA-HCl (100 mg p.o.) and, separately, placebo (ascorbic acid) in a randomized, double-blind, repeated-measures design with twenty-five healthy volunteers undergoing fMRI scanning. We then employed a measure of global resting-state functional brain connectivity and follow-up seed-to-voxel analysis to the fMRI data we acquired. Results revealed decreased right insula/salience network functional connectivity under MDMA. Furthermore, these decreases in right insula/salience network connectivity correlated with baseline trait anxiety and acute experiences of altered bodily sensations under MDMA. The present findings highlight insular disintegration (ie, compromised salience network membership) as a neurobiological signature of the MDMA experience, and relate this brain effect to trait anxiety and acutely altered bodily sensations-both of which are known to be associated with insular functioning.","3"
"2358","In vivo imaging of cerebral serotonin transporter and serotonin 2A receptor binding in 3,4-methylenedioxymethamphetamine (MDMA or ""Ecstasy"") and hallucinogen users.^\nContext: Both hallucinogens and 3,4-methylenedioxy-methamphetamine ( MDMA or ""ecstasy"") have direct agonistic effects on postsynaptic serotonin2A receptors, the key site for hallucinogenic actions. In addition, MDMA is a potent releaser and reuptake inhibitor of presynaptic serotonin. Objective: To assess the differential effects of MDMA and hallucinogen use on cerebral serotonin transporter (SERT) and serotonin 2A receptor binding. Design: A positron emission tomography study of 24 young adult drug users and 21 nonusing control participants performed with carbon 11 (11C)-labeled 3-amino-4-[2-[(di(methyl)amino)methyl]phenyl] sulfanylbenzonitrile (DASB) and fluorine 18 (18F)-labeled altanserin, respectively. Scans were performed in the user group after a minimum drug abstinence period of 11 days, and the group was subdivided into hallucinogen-preferring users (n=10) and MDMA-preferring users (n=14). Participants: Twenty-four young adult users ofMDMA and/or hallucinogenic drugs and 21 nonusing controls. Main Outcome Measures: In vivo cerebral SERT and serotonin2A receptor binding. Results: Compared with nonusers, MDMA-preferring users showed significant decreases in SERT nondisplaceable binding potential (neocortex, -56%; pallidostriatum, -19%; and amygdala, -32%); no significant changes were seen in hallucinogen-preferring users. Both cortical and pallidostriatal SERT nondisplaceable binding potential was negatively correlated with the number of lifetime MDMA exposures, and the time of abstinence from MDMA was positively correlated with subcortical, but not cortical, SERT binding. A small decrease in neocortical serotonin2A receptor binding in the serotonin2A receptor agonist users (both user groups) was also detected. Conclusions: We found evidence that MDMA but not hallucinogen use is associated with changes in the cerebral presynaptic serotonergic transmitter system. Because hallucinogenic drugs primarily have serotonin2A receptor agonistic actions, we conclude that the negative association between MDMA use and cerebral SERT binding is mediated through a direct presynaptic MDMA effect rather than by the serotonin2A agonistic effects of MDMA. Our cross-sectional data suggest that subcortical, but not cortical, recovery of SERT binding might take place after several months of MDMA abstinence. ©2011 American Medical Association. All rights reserved.","3"
"1281","Current and former ecstasy users report different sleep to matched controls: A web-based questionnaire study.^\nThis study sought to test the association between ecstasy-use and abnormal sleep. An anonymous web-based questionnaire containing questions on drug use and sleep was completed by 1035 individuals. From this large sample, a group of 89 ecstasy users were found who reported very little use of other drugs. This ""ecstasy-only"" group was further divided into two groups of 31 current users and 58 abstinent users. The subjective sleep of current and former ecstasy-only users was compared with that of matched controls. Patients were asked to rate their sleep according to: 1) sleep quality, 2) sleep latency, 3) night time awakenings and 4) total sleep time. Current ecstasy-only users reported significantly worse sleep quality (P?<?0.05) and a greater total sleep time (P?<?0.001) than controls. It was inferred that these differences might be due to recovery from the acute effects of the drug. Abstinent ecstasy-only users reported significantly more nighttime awakenings than controls (P?<?0.01). These subjective findings are in agreement with the objective findings of previous studies showing persistent sleep abnormalities in ecstasy users. © 2009 British Association for Psychopharmacology.","3"
"1791","Impulsivity, inhibition and negative priming in ecstasy users.^\nA modified Stroop color-word interference paradigm was used to investigate the effects of recreational ecstasy (MDMA) use on central executive inhibitory processes. Ecstasy users who also used cannabis were compared with non-users matched for cannabis consumption and with non-drug users on a Stroop task in which standard color-word interference trials were interspersed with trials in which the target color was the same as the distractor word on the immediately preceding trial. Ecstasy's effects on standard inhibition (conscious suppression of a prepotent response pattern-responsible for Stroop interference) could thus be contrasted with its effect on the short-term, unconscious, inhibitory process responsible for suppression of the preceding distractor word (negative priming). Neither drug group differed from the non-drug users in level of Stroop interference but ecstasy users showed reduced negative priming compared to the cannabis users and non-drug users. The loss of inhibition in the ecstasy users was not related to impulsivity assessed by two standard scales since these were similar in both drug-user groups and raised relative to the non-drug users. It is argued that previous failures to demonstrate loss of inhibition could be partly due to the fact that standard executive function tests, such as the Stroop, are unable to differentiate between sub-types of inhibition, only some of which may be affected by ecstasy use. © 2005 Elsevier Ltd. All rights reserved.","3"
"2556","Low-dose ketamine for treatment resistant depression in an academic clinical practice setting.^\nBACKGROUND: Recent studies demonstrating a rapid, robust improvement in treatment resistant depression (TRD) following a single sub-anesthetic infusion of ketamine have generated much excitement. However, these studies are limited in their generalizability to the broader TRD population due to their subject exclusion criteria which typically limit psychiatric comorbidity, concurrent medication, and level of suicide risk. This paper describes the safety and efficacy of sub-anesthetic ketamine infusions in a naturalistic TRD patient sample participating in a real-world TRD treatment program within a major university health system. METHODS: The effects of a sub-anesthetic dose (0.5mg/kg) of ketamine infused IV over forty minutes on TRD patients participating in a treatment program at the University of California, San Diego was investigated by retrospectively analyzing the medical charts of 41 adult TRD patients with a diagnosis of Major Depressive Disorder (MDD) or Bipolar Disorder (BD). RESULTS: Subjects were aged 48.6, 78% white, 36.6% female, and 82.9% had MDD. Significant psychiatric comorbidity existed in 73%. Average pre-infusion BDI score was 32.6 ± 8.4 (S.D) and dropped to 16.8 ± 3.1 at 24-h post-infusion (p < 0.001). The 24-h response (≥ 50% reduction from pre-infusion) and remission (BDI <13) rates were 53.7% and 41.5%, respectively. Three quarters of responders maintained responder status at 7-days. Ketamine infusions were well tolerated with occasional nausea or anxiety and mild hemodynamic effects during the infusion. LIMITATIONS: Retrospective nature of this study, lack of control group and use of self-report depression ratings scales. CONCLUSIONS: This is the first published study of sub-anesthetic ketamine infusions in a real-world TRD population. The results suggest that this treatment is effective and well tolerated in this population.","2"
"8294","Evidence for a hallucinogen dependence syndrome developing soon after onset of hallucinogen use during adolescence.^\nThis study uses latent class methods and multiple regression to shed light on hypothesized hallucinogen dependence syndromes experienced by young people who have recently initiated hallucinogen use. It explores possible variation in risk. The study sample, identified within public-use data files of the 1999 National Household Survey on Drug Abuse (NHSDA), consists of 1186 recent-onset hallucinogen users, defined as having initiated hallucinogen use within 24 months of assessment (median elapsed time since onset of use ∼12 to 13 months). The recent-onset users in this sample were age 12 to 21 at the time of assessment and were between the ages of 10 and 21 at the time of their first hallucinogen use. The NHSDA included items to assess seven clinical features often associated with hallucinogen dependence, which were used in latent class modelling. Latent class analysis, in conjunction with prior theory, supports a three-class solution, with 2% of recent-onset users in a class that resembles a hallucinogen dependence syndrome, whereas 88% expressed few or no clinical features of dependence. The remaining 10% may reflect users who are at risk for dependence or in an early stage of dependence. Results from latent class regressions indicate that susceptibility to rapid transition from first hallucinogen use to onset of this hallucinogen dependence syndrome might be influenced by hallucinogenic compounds taken (for example, estimated relative risk, RR = 2.4, 95% CI = 1.6, 7.6 for users of MDMA versus users of LSD). Excess risk of rapid transition did not appear to depend upon age, sex, or race/ethnicity. Copyright © 2006 John Wiley & Sons, Ltd.","3"
"2912","Safety, pharmacokinetic, and pharmacodynamic evaluation of a noribogaine multiple-dose regimen in opioid-dependent subjects.^\nOpioid dependence is a significant public health issue. Improved non‐addictive, non‐opioid treatments to help opioid‐dependent individuals stop opioid use and remain abstinent are needed. Ibogaine has been explored as treatment for substance dependence, but its psychotomimetic effects limit its clinical utility. Noribogaine is an active metabolite of ibogaine and may be more selective in treating opioid dependence without undesirable psychotomimetic effects. Previous clinical studies evaluated single doses of noribogaine and suggested that it is safe and well‐tolerated, but with a concentration‐dependent increase in the QTc interval. This study evaluated the safety, pharmacokinetics (PK), and pharmacodynamics (PD) of noribogaine HCl capsules after multiple dosing in treatment‐seeking opioid‐dependent subjects. Background: The development of treatments for opioid dependence, a significant public health issue, is of high importance. Educational objectives include: (1) describe noribogaine as a potential non‐addictive, non‐opioid treatment for opioid dependence, (2) examine the utility of a predefined dosing algorithm to avoid pronounced QTc prolongation (QTcF >500 msec or ΔQTcF >60 msec) in multiple dose studies of drugs that exhibit a concentration‐dependent increase in the QTc interval, (3) recognize the importance of conducting controlled clinical trials in the opioid‐dependent population while acknowledging the challenges of studying this population. Methods: This was a phase 1B, open‐label, titration study conducted in an inpatient clinical unit. A loading dose of oral noribogaine 80 mg was followed by titrated maintenance dosing (10, 20, 30, or 40 mg, q6h) for up to 5 days. Maintenance dosing considered subjective and objective clinical assessments and QTcF using a predefined algorithm to avoid pronounced QT prolongation (QTcF >500 msec or ΔQTcF >60 msec was exclusionary). Standard safety evaluations, PK, and PD assessments (eg, opioid withdrawal and mood scales) were conducted. Continuous cardiac monitoring was performed via Holter monitor and telemetry. Results: Nine subjects (6 males; mean age 31.2 years) were enrolled. Documented opioid use included heroin and prescription opioids. Cumulative noribogaine doses ranged from 80mg to 670 mg, with 4 subjects administered the maximum 20 doses (mean 653 mg, range 640‐670 mg). No serious adverse events (AEs) were reported. Of treatmentemergent AEs, 96% were mild in severity, none were severe and 58% were opioid withdrawal‐related. Noribogaine plasma concentrations showed high intersubject variability, even between subjects with similar unit/daily/total doses. Cmax values following multiple dosing ranging from 52 to 252 (mean 102) ng/mL. After oral administration of noribogaine, observed plasma concentrations over time were consistent with an open, 2 compartment first‐order absorption model. Steady‐state was reached between 12 and 24 hours in a majority of subjects (5) and within 48 hours for the remaining (2). The largest ΔQTcF by subject ranged from 22‐51 msec (mean 33 msec). A concentration‐dependent increase in DQTcF was observed, corresponding to a predicted ΔQTcF of 17 msec at the geometric mean peak concentration of 89.1 ng/mL. No QTc changes resulted in AEs or discontinuation. Scores on withdrawal and mood scales decreased rapidly and substantially following administration of noribogaine, and this was supported by non‐solicited self‐reports that the withdrawal experience was less severe compared with previous attempts in the majority of subjects. Mean (SD) SOWS score at baseline was 30.3 (10.6) and declined to 16.8 (7.4) one hour after loading dose administration; at 51 hours post‐loading dose, mean SOWS score was 10.4 (9.7). Mean (SD) POMS total mood disturbance (TMD) score was 53.8 (22.2) at baseline and declined to 37.3 (43.3) at 57 hours post‐loading dose. Consistent with the expected time course of opioid withdrawal, 3 subjects experienced an increase in withdrawal symptoms 48‐72 h post the last pre‐t eatment opioid administration (mean of 11 h prior to noribogaine loading dose), 2 of whom withdrew from the study. All 4 subjects who remained in the clinic after 72 hours experienced further decreases in withdrawal and mood scores (SOWS: 4.8 (4.9) at 81 h; POMS TMD: 0.8 (4.6) at 84 h). Subjects returned to their pre‐treatment environment, largely devoid of support; 5 subjects relapsed, 3 were lost to follow‐up, and 1 remained abstinent (15 weeks). Conclusions: Noribogaine treatment for up to 5 days was well tolerated. The previously noted QTc effect was confirmed, and a dosing algorithm with QTc criteria was successful in avoiding pronounced QTc prolongation (i.e., no QTcF>500 msec or ΔQTcF >60 msec). Steady‐state noribogaine concentrations were reached rapidly with the use of a loading dose. Clinically significant reductions in withdrawal symptoms and mood assessments were seen following noribogaine administration. These findings support continued evaluation of noribogaine in treating opioid dependence under medical supervision in controlled clinical trials. Educational Objectives: At the conclusions of this activity, participants should be able to: 1. Describe noribogaine as a potential non‐addictive, nonopioid treatment for opioid dependence. 2. Examine the utility of a predefined dosing algorithm to avoid pronounced QTc prolongation. 3. Recognize the importance/challenge of conducting controlled clinical trials in the opioid‐dependents.","3"
"319","Psilocybin-assisted treatment for alcohol use disorder: a clinical perspective.^\nBackground: Hallucinogenic compounds such as psilocybin have reemerged as promising adjunctive treatments for alcohol use disorder. A recent open‐label study of psilocybin with 12 weeks of psychosocial treatment for alcohol use disorder showed a significant acute reduction in the percentage of heavy drinking days, post‐psilocybin administration for 36 weeks (Bogenschutz, 2015). Furthermore, the study showed that psilocybin‐assisted treatment was safe, feasible, and tolerable. The methods and outcomes of that study were foundational in the design of this current investigation which is an ongoing double‐blind active controlled clinical trial of psilocybin‐assisted treatment for alcohol use disorder (target enrollment, n = 180). Methods: Patients with alcohol use disorder were assigned to either receive orally administered psilocybin or diphenhydramine in two or three sessions in addition to Motivational Enhancement and Taking Action (META) therapy and therapy sessions devoted to preparation for and debriefing from the psilocybin sessions. Total treatment course was 42 weeks. Three patients who completed treatment in the trial were selected to represent the variety of experiences and outcomes observed, not as evidence of efficacy. Treatment assignment has not been un‐blinded. Results: All three patients had a reduction in heavy drinking behavior. Two of the three patients were abstinent by the end of the trial. One of the three patients declined medication after his first session. Experiences were intense and memorable in ways that were unique to each patient. Conclusions: Although we do not know if psilocybin played a role in any of the study patients' treatment, the treatment course in its entirety was a memorable experience that appeared to have a positive impact on change in drinking behavior. These outcomes provide us with valuable information about the processes through which patients may or may not benefit from this type of treatment. Summary: This study examined psilocybin as a potential adjunctive therapy for patients with alcohol use disorder. Three patients from our ongoing double‐blind activecontrolled clinical trial were selected to represent the variety of experiences and outcomes observed, not as evidence of efficacy. Although we do not know if psilocybin played a role in any of the study patients' treatment, the treatment course in its entirety was a memorable experience that appeared to have a positive impact on change in drinking behavior. These outcomes provide us with valuable information about the processes through which patients may or may not benefit from this type of treatment. This study has important implications for the future developments of treatment for alcohol use disorder as it may provide another accessible means of therapy for an incredible complex disease process.","3"
